Число избирателей, внесенных в список на момент окончания голосования	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования в день голосования	Число  погашенных избирательных бюллетеней	Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования	Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Андрейченко Андрей Валерьевич	Кожемяко Олег Николаевич	Тимченко Алексей Павлович	Чемерис Роза Басировна
УИК №806	1892	1500	0	641	6	853	6	640	46	600	0	0	275	223	58	44
УИК №807	2055	1500	0	672	6	822	6	671	42	635	0	0	296	238	67	34
УИК №808	2724	2000	0	760	9	1231	9	760	31	738	0	0	338	276	73	51
УИК №809	1386	1000	0	420	2	578	2	420	16	406	0	0	170	173	40	23
УИК №810	2213	1600	0	766	30	804	30	766	27	769	0	0	225	468	47	29
УИК №811	648	500	0	314	44	142	44	314	12	346	0	0	103	206	23	14
УИК №812	722	500	0	398	0	102	0	398	19	379	0	0	144	199	22	14
УИК №813	1617	1200	0	691	0	509	0	691	16	675	0	0	230	389	30	26
УИК №814	1984	1500	0	716	4	780	4	716	46	674	0	0	270	339	40	25
УИК №815	1169	1000	0	467	4	529	4	467	18	453	0	0	213	191	24	25
УИК №816	3149	2500	0	1019	52	1429	52	1019	0	1071	0	0	104	838	42	87
УИК №817	977	700	0	262	7	431	7	262	10	259	0	0	100	107	34	18
УИК №818	595	500	0	204	6	290	6	204	14	196	0	0	106	69	16	5
УИК №819	567	500	0	162	1	337	1	162	5	158	0	0	73	69	9	7
УИК №820	2485	2000	0	864	1	1135	1	864	40	825	0	0	380	333	74	38
УИК №821	615	570	0	428	123	19	123	428	30	521	0	0	44	454	6	17
УИК №822	1857	1500	0	547	0	953	0	547	26	521	0	0	229	208	58	26
УИК №823	1623	1500	0	597	8	895	8	597	23	582	0	0	192	306	52	32
УИК №824	1278	1000	0	526	0	474	0	526	16	510	0	0	189	255	40	26
УИК №825	2750	2000	0	868	34	1098	34	868	37	865	0	0	343	387	86	49
УИК №826	2311	2000	0	879	22	1099	22	879	30	871	0	0	306	445	79	41
УИК №827	2047	1500	0	880	3	617	3	880	10	873	0	0	89	660	75	49
УИК №828	1909	1500	0	669	15	816	15	669	39	645	0	0	221	350	49	25
УИК №829	872	600	0	354	1	245	1	354	14	341	0	0	108	196	26	11
УИК №830	2161	1500	0	810	12	678	12	810	35	787	0	0	269	425	66	27
УИК №831	2279	2000	0	978	15	1007	15	976	41	950	0	0	236	607	75	32
УИК №832	1836	1500	0	910	17	573	17	910	34	893	0	0	247	547	59	40
УИК №833	2231	1600	0	923	7	670	7	916	35	888	0	0	330	442	91	25
УИК №834	2064	1500	0	725	17	758	17	725	29	713	0	0	265	360	65	23
УИК №835	1953	1500	0	1018	9	473	9	1017	35	991	0	0	309	549	83	50
УИК №836	985	700	0	369	5	326	5	369	13	361	0	0	152	172	29	8
УИК №837	1326	1000	0	703	4	293	4	703	28	679	0	0	191	410	46	32
УИК №838	1252	1000	0	613	16	371	16	613	24	605	0	0	178	357	51	19
УИК №839	1491	1000	0	694	1	305	1	694	0	695	0	0	101	500	36	58
УИК №840	2196	1500	0	1067	12	421	12	1067	0	1079	0	0	101	821	53	104
УИК №841	1988	1500	0	838	11	651	11	838	38	811	0	0	259	460	65	27
УИК №842	2175	1500	0	771	2	727	2	771	38	735	0	0	325	305	70	35
УИК №843	2456	2000	0	1013	12	975	12	1013	47	978	0	0	350	506	78	44
УИК №844	1996	1500	0	826	3	671	3	826	31	798	0	0	300	393	60	45
УИК №845	1943	1500	0	732	2	766	2	732	30	704	0	0	267	365	51	21
УИК №846	1355	1000	0	468	3	529	3	468	16	455	0	0	236	165	26	28
УИК №847	1848	1500	0	794	18	688	18	794	0	812	0	0	88	635	45	44
УИК №848	1885	1500	0	810	5	685	5	810	38	777	0	0	247	446	53	31
УИК №849	1549	1000	0	792	60	148	60	792	0	852	0	0	20	811	6	15
УИК №880	290	270	0	127	127	16	127	127	9	245	0	0	74	120	30	21
УИК №881	195	195	0	171	24	0	24	171	21	174	0	0	42	118	9	5
УИК №882	167	167	0	163	0	4	0	163	5	158	0	0	47	92	15	4
УИК №883	138	130	0	112	11	7	11	112	5	118	0	0	47	61	3	7
УИК №901	1712	1500	0	571	4	925	4	571	30	545	0	0	257	199	55	34
УИК №902	2327	2000	0	880	9	1111	9	880	30	859	0	0	334	398	90	37
УИК №903	2317	2000	0	771	8	1221	8	771	29	750	0	0	283	353	72	42
УИК №904	2251	2000	0	846	3	1151	3	845	45	803	0	0	351	328	78	46
УИК №905	2261	2000	0	690	47	1263	47	690	33	704	0	0	290	306	76	32
УИК №906	2069	1800	0	818	5	977	5	818	27	796	0	0	243	416	94	43
УИК №907	1330	1000	0	485	6	509	6	485	20	471	0	0	155	261	38	17
УИК №908	1170	1000	0	369	4	627	4	369	15	358	0	0	136	171	37	14
УИК №909	1079	1000	0	363	6	631	6	363	9	360	0	0	135	172	43	10
УИК №910	1528	1200	0	546	1	653	1	546	21	526	0	0	237	195	75	19
УИК №911	1356	1200	0	409	4	787	4	408	10	402	0	0	156	187	46	13
УИК №912	1376	1200	0	455	24	721	24	455	30	449	0	0	114	323	8	4
УИК №913	1132	800	0	410	110	280	110	409	21	498	0	0	171	232	70	25
УИК №914	2096	1700	0	764	9	927	9	764	34	739	0	0	279	359	64	37
УИК №915	1521	1300	0	617	6	677	6	617	18	605	0	0	240	296	46	23
УИК №916	1351	1200	0	524	15	661	15	523	25	513	0	0	188	257	47	21
УИК №917	1412	1200	0	547	9	644	9	546	17	538	0	0	193	248	56	41
УИК №918	1909	1800	0	675	12	1113	12	675	23	664	0	0	240	334	66	24
УИК №919	888	700	0	319	7	374	7	318	11	314	0	0	126	148	26	14
УИК №920	1844	1800	0	621	2	1177	2	621	31	592	0	0	220	271	69	32
УИК №921	1837	1500	0	732	6	762	6	732	24	714	0	0	276	346	71	21
УИК №922	2129	2000	0	649	10	1341	10	646	24	632	0	0	243	295	70	24
УИК №923	658	500	0	166	4	330	4	166	7	163	0	0	83	61	12	7
УИК №924	1487	1440	0	323	16	1101	16	323	17	322	0	0	133	149	27	13
УИК №925	1395	1300	0	487	23	790	23	487	20	490	0	0	167	256	45	22
УИК №926	292	300	0	134	0	166	0	134	14	120	0	0	19	88	3	10
УИК №980	89	600	0	62	0	538	0	62	5	57	0	0	27	24	4	2
УИК №981	200	320	0	192	0	128	0	192	7	185	0	0	55	106	10	14
УИК №982	671	700	0	570	0	130	0	569	76	493	0	0	168	260	34	31
УИК №983	145	500	0	91	42	367	42	91	4	129	0	0	59	49	18	3
УИК №5801	23	23	0	23	0	0	0	23	2	21	0	0	2	17	2	0
УИК №5802	18	18	0	18	0	0	0	18	2	16	0	0	3	6	1	6
УИК №5803	35	35	0	35	0	0	0	35	1	34	0	0	12	20	1	1
УИК №5804	18	18	0	18	0	0	0	18	4	14	0	0	3	9	1	1
УИК №5805	17	17	0	17	0	0	0	17	7	10	0	0	4	2	0	4
УИК №5806	13	13	0	13	0	0	0	13	0	13	0	0	4	4	2	3
УИК №5807	13	13	0	13	0	0	0	13	1	12	0	0	2	10	0	0
УИК №5808	13	13	0	13	0	0	0	13	1	12	0	0	4	7	1	0
УИК №5809	13	13	0	13	0	0	0	13	0	13	0	0	1	10	1	1
УИК №5810	18	18	0	18	0	0	0	18	2	16	0	0	4	11	0	1
УИК №5811	17	17	0	17	0	0	0	17	1	16	0	0	10	3	1	2
УИК №5812	19	19	0	19	0	0	0	19	1	18	0	0	12	5	1	0
УИК №5813	17	17	0	17	0	0	0	17	0	17	0	0	2	15	0	0
УИК №5814	72	72	0	72	0	0	0	72	1	71	0	0	7	58	3	3
УИК №5815	105	105	0	105	0	0	0	105	41	64	0	0	15	45	1	3
УИК №5816	74	74	0	74	0	0	0	74	2	72	0	0	5	67	0	0
УИК №5817	83	83	0	83	0	0	0	83	2	81	0	0	5	72	2	2
УИК №5818	16	16	0	16	0	0	0	16	2	14	0	0	3	11	0	0
УИК №5819	54	54	0	44	0	10	0	44	1	43	0	0	9	28	1	5
УИК №5820	25	25	0	25	0	0	0	25	1	24	0	0	12	9	2	1
УИК №5821	27	27	0	27	0	0	0	27	8	19	0	0	4	10	0	5
УИК №5822	76	76	0	76	0	0	0	76	3	73	0	0	7	61	0	5
УИК №5823	75	75	0	75	0	0	0	75	3	72	0	0	2	68	1	1
УИК №5824	79	79	0	79	0	0	0	79	11	68	0	0	8	54	1	5
УИК №5825	13	13	0	13	0	0	0	13	0	13	0	0	1	12	0	0
УИК №5826	73	73	0	30	0	43	0	30	4	26	0	0	8	10	0	8
УИК №5828	15	15	0	15	0	0	0	15	5	10	0	0	4	6	0	0
УИК №5829	22	22	0	22	0	0	0	22	5	17	0	0	10	6	1	0
УИК №5830	20	20	0	20	0	0	0	20	6	14	0	0	10	1	1	2
УИК №5831	51	51	0	50	0	1	0	50	20	30	0	0	9	18	2	1
УИК №5832	8	8	0	8	0	0	0	8	0	8	0	0	6	1	0	1
УИК №5833	17	17	0	15	0	2	0	15	4	11	0	0	5	4	0	2
УИК №5834	23	23	0	23	0	0	0	23	5	18	0	0	8	4	2	4
УИК №5835	19	19	0	19	0	0	0	19	7	12	0	0	5	5	0	2
УИК №5836	16	16	0	12	0	4	0	12	1	11	0	0	6	3	1	1
УИК №5837	14	14	0	14	0	0	0	14	2	12	0	0	5	2	1	4
УИК №5838	13	13	0	13	0	0	0	13	0	13	0	0	5	3	3	2
УИК №5839	17	17	0	17	0	0	0	17	1	16	0	0	9	4	2	1
УИК №5840	18	18	0	18	0	0	0	18	7	11	0	0	8	0	2	1
УИК №5841	20	20	0	20	0	0	0	20	4	16	0	0	8	7	0	1
УИК №5842	16	16	0	16	0	0	0	16	8	8	0	0	4	4	0	0
УИК №5843	13	13	0	13	0	0	0	13	1	12	0	0	4	3	0	5
УИК №5844	313	313	0	307	0	6	0	307	14	293	0	0	24	242	9	18
УИК №5845	22	22	0	22	0	0	0	22	4	18	0	0	9	5	1	3
УИК №5846	19	19	0	19	0	0	0	19	3	16	0	0	6	4	0	6
УИК №5847	18	18	0	18	0	0	0	18	0	18	0	0	0	18	0	0
УИК №5848	21	21	0	21	0	0	0	21	1	20	0	0	3	15	1	1
УИК №5849	21	21	0	21	0	0	0	21	3	18	0	0	3	15	0	0
УИК №5850	19	19	0	19	0	0	0	19	2	17	0	0	3	13	0	1
УИК №5851	20	20	0	20	0	0	0	20	2	18	0	0	7	10	0	1
УИК №5852	75	78	0	75	0	3	0	75	3	72	0	0	3	60	6	3
УИК №5853	26	26	0	26	0	0	0	26	0	26	0	0	0	26	0	0
УИК №5854	14	14	0	14	0	0	0	14	2	12	0	0	7	4	0	1
УИК №5855	20	20	0	20	0	0	0	20	0	20	0	0	0	20	0	0
УИК №5856	21	21	0	21	0	0	0	21	1	20	0	0	0	19	1	0
УИК №5857	23	23	0	23	0	0	0	23	2	21	0	0	0	20	0	1
УИК №5858	19	19	0	19	0	0	0	19	0	19	0	0	0	19	0	0
УИК №5859	24	24	0	24	0	0	0	24	0	24	0	0	3	21	0	0
УИК №5860	25	25	0	25	0	0	0	25	6	19	0	0	3	4	1	11
УИК №5861	16	16	0	16	0	0	0	16	2	14	0	0	4	8	1	1
УИК №5862	23	23	0	23	0	0	0	23	5	18	0	0	5	11	1	1
УИК №5863	9	9	0	9	0	0	0	9	0	9	0	0	9	0	0	0
УИК №5864	13	13	0	13	0	0	0	13	2	11	0	0	6	4	1	0
УИК №5865	25	25	0	25	0	0	0	25	0	25	0	0	4	18	2	1
УИК №5866	26	26	0	26	0	0	0	26	4	22	0	0	1	19	1	1
УИК №5867	25	25	0	25	0	0	0	25	2	23	0	0	8	14	1	0
УИК №5868	26	26	0	26	0	0	0	26	0	26	0	0	0	26	0	0
УИК №5869	24	24	0	24	0	0	0	24	0	24	0	0	2	22	0	0
УИК №5870	24	24	0	24	0	0	0	24	1	23	0	0	2	20	0	1
УИК №5871	26	26	0	26	0	0	0	26	0	26	0	0	3	23	0	0
УИК №5872	28	28	0	28	0	0	0	28	1	27	0	0	2	25	0	0
УИК №5873	22	22	0	22	0	0	0	22	0	22	0	0	2	20	0	0
УИК №5874	26	26	0	26	0	0	0	26	0	26	0	0	2	24	0	0
УИК №5875	26	26	0	26	0	0	0	26	0	26	0	0	1	23	0	2
УИК №5876	30	30	0	30	0	0	0	30	1	29	0	0	1	27	0	1
УИК №5877	26	26	0	26	0	0	0	26	0	26	0	0	2	24	0	0
УИК №5878	15	15	0	15	0	0	0	15	0	15	0	0	1	13	0	1
УИК №5879	25	25	0	25	0	0	0	25	0	25	0	0	1	23	0	1
УИК №5880	25	25	0	25	0	0	0	25	1	24	0	0	1	23	0	0
УИК №5881	28	28	0	28	0	0	0	28	0	28	0	0	2	26	0	0
УИК №5882	31	31	0	31	0	0	0	31	1	30	0	0	1	26	1	2
УИК №5883	33	34	0	33	0	1	0	33	3	30	0	0	3	25	2	0
УИК №5884	23	23	0	23	0	0	0	23	2	21	0	0	8	8	3	2
УИК №5885	21	21	0	21	0	0	0	21	2	19	0	0	6	8	1	4
УИК №5886	23	23	0	23	0	0	0	23	6	17	0	0	5	6	1	5
УИК №5887	19	19	0	19	0	0	0	19	0	19	0	0	5	10	2	2
УИК №5888	18	18	0	18	0	0	0	18	3	15	0	0	4	11	0	0
УИК №5889	20	20	0	20	0	0	0	20	2	18	0	0	1	16	0	1
УИК №5890	30	30	0	30	0	0	0	30	4	26	0	0	19	6	1	0
УИК №5891	64	64	0	64	0	0	0	64	7	57	0	0	30	16	4	7
УИК №5892	11	11	0	10	0	1	0	10	1	9	0	0	1	8	0	0
УИК №5893	11	11	0	11	0	0	0	11	1	10	0	0	2	8	0	0
УИК №5894	14	14	0	14	0	0	0	14	2	12	0	0	11	1	0	0
УИК №5895	72	72	0	70	0	2	0	70	25	45	0	0	6	27	6	6
УИК №5897	62	62	0	62	0	0	0	62	0	62	0	0	1	58	1	2
УИК №5898	97	97	0	97	0	0	0	97	0	97	0	0	0	97	0	0
УИК №5899	14	14	0	14	0	0	0	14	2	12	0	0	7	1	0	4
УИК №5900	14	14	0	14	0	0	0	14	4	10	0	0	7	3	0	0
УИК №5901	16	16	0	16	0	0	0	16	5	11	0	0	9	1	1	0
УИК №5902	16	16	0	16	0	0	0	16	7	9	0	0	4	4	1	0
УИК №5903	18	18	0	18	0	0	0	18	2	16	0	0	0	14	0	2
УИК №5904	23	23	0	23	0	0	0	23	11	12	0	0	4	0	1	7
УИК №5905	38	38	0	38	0	0	0	38	15	23	0	0	6	14	3	0
УИК №5906	25	25	0	25	0	0	0	25	6	19	0	0	7	10	1	1
УИК №5907	32	32	0	30	0	2	0	30	5	25	0	0	15	9	0	1
УИК №5908	14	14	0	14	0	0	0	14	0	14	0	0	0	14	0	0
УИК №5909	16	16	0	16	0	0	0	16	2	14	0	0	9	2	0	3
УИК №5910	21	21	0	21	0	0	0	21	0	21	0	0	17	3	0	1
УИК №5911	18	18	0	18	0	0	0	18	1	17	0	0	1	16	0	0
УИК №5912	47	47	0	47	0	0	0	47	2	45	0	0	5	34	3	3
УИК №5913	17	17	0	17	0	0	0	17	2	15	0	0	0	15	0	0
УИК №5915	11	11	0	11	0	0	0	11	4	7	0	0	5	0	1	1
УИК №5917	12	12	0	12	0	0	0	12	3	9	0	0	1	7	1	0
УИК №5918	14	14	0	14	0	0	0	14	0	14	0	0	10	2	2	0
УИК №5919	13	13	0	13	0	0	0	13	4	9	0	0	3	1	0	5
УИК №5920	12	12	0	12	0	0	0	12	0	12	0	0	4	3	2	3
УИК №5921	13	13	0	13	0	0	0	13	0	13	0	0	10	3	0	0
УИК №5922	21	21	0	21	0	0	0	21	0	21	0	0	0	21	0	0
УИК №5923	24	24	0	24	0	0	0	24	0	24	0	0	0	24	0	0
УИК №5924	20	20	0	20	0	0	0	20	0	20	0	0	0	20	0	0
УИК №5925	20	20	0	20	0	0	0	20	0	20	0	0	0	20	0	0
УИК №5926	19	19	0	19	0	0	0	19	0	19	0	0	0	19	0	0
УИК №5927	4	4	0	4	0	0	0	4	0	4	0	0	0	4	0	0
УИК №5928	34	34	0	34	0	0	0	34	0	34	0	0	0	34	0	0
УИК №5929	32	32	0	32	0	0	0	32	0	32	0	0	0	32	0	0
УИК №5930	26	26	0	26	0	0	0	26	7	19	0	0	7	8	2	2
УИК №5931	30	30	0	30	0	0	0	30	9	21	0	0	11	6	0	4
УИК №5932	19	19	0	19	0	0	0	19	6	13	0	0	4	4	5	0
УИК №5933	17	17	0	17	0	0	0	17	0	17	0	0	0	15	0	2
УИК №5934	15	15	0	15	0	0	0	15	7	8	0	0	4	4	0	0
УИК №5935	24	24	0	24	0	0	0	24	2	22	0	0	10	8	1	3
УИК №5936	13	13	0	13	0	0	0	13	7	6	0	0	0	3	1	2
УИК №5938	11	11	0	11	0	0	0	11	2	9	0	0	2	6	0	1
УИК №5939	13	13	0	13	0	0	0	13	4	9	0	0	2	6	0	1
УИК №5940	11	11	0	11	0	0	0	11	10	1	0	0	0	1	0	0
УИК №5941	10	10	0	10	0	0	0	10	0	10	0	0	4	1	1	4
УИК №5942	16	16	0	16	0	0	0	16	0	16	0	0	2	11	1	2
УИК №5943	7	7	0	7	0	0	0	7	0	7	0	0	1	5	0	1
УИК №5944	20	20	0	20	0	0	0	20	0	20	0	0	0	18	2	0
УИК №5945	17	17	0	17	0	0	0	17	0	17	0	0	0	17	0	0
УИК №5946	27	27	0	27	0	0	0	27	0	27	0	0	0	27	0	0
УИК №5947	14	14	0	14	0	0	0	14	1	13	0	0	0	13	0	0
УИК №5948	16	16	0	16	0	0	0	16	4	12	0	0	4	6	0	2
УИК №5949	11	11	0	10	0	1	0	10	2	8	0	0	6	2	0	0
УИК №5950	16	16	0	16	0	0	0	16	1	15	0	0	4	9	2	0
УИК №5951	8	8	0	8	0	0	0	8	0	8	0	0	0	8	0	0
УИК №5953	10	10	0	10	0	0	0	10	0	10	0	0	1	9	0	0
УИК №5954	15	15	0	15	0	0	0	15	0	15	0	0	1	14	0	0
УИК №5955	13	13	0	13	0	0	0	13	0	13	0	0	0	13	0	0
УИК №5956	16	16	0	16	0	0	0	16	0	16	0	0	1	15	0	0
УИК №1001	1941	1900	0	644	66	1190	66	644	44	666	0	0	160	394	72	40
УИК №1002	816	800	0	316	20	464	20	316	20	316	0	0	117	154	17	28
УИК №1003	1135	1100	0	387	11	702	11	387	16	382	0	0	106	213	32	31
УИК №1004	1809	1800	0	649	6	1145	6	649	39	616	0	0	208	308	60	40
УИК №1005	1949	1900	0	764	9	1127	9	764	56	717	0	0	266	341	61	49
УИК №1006	1767	1700	0	772	10	918	10	772	40	742	0	0	258	396	51	37
УИК №1007	1763	1700	0	650	7	1043	7	650	42	615	0	0	185	339	53	38
УИК №1008	1633	1600	0	588	9	1003	9	588	36	561	0	0	193	300	33	35
УИК №1009	1760	1700	0	675	6	1019	6	675	35	646	0	0	196	346	53	51
УИК №1010	1698	1600	0	556	5	1039	5	556	38	523	0	0	156	293	49	25
УИК №1011	1678	1600	0	559	7	1034	7	559	35	531	0	0	175	288	38	30
УИК №1012	1893	1800	0	768	51	981	51	768	42	777	0	0	233	445	55	44
УИК №1013	1854	1800	0	577	12	1211	12	577	35	554	0	0	191	287	43	33
УИК №1014	1852	1800	0	602	10	1188	10	602	38	574	0	0	195	302	41	36
УИК №1015	1760	1700	0	719	8	973	8	719	41	686	0	0	240	337	72	37
УИК №1016	1688	1600	0	666	6	928	6	666	60	612	0	0	222	327	31	32
УИК №1017	1923	1900	0	701	10	1189	10	701	47	664	0	0	235	333	66	30
УИК №1018	1843	1800	0	630	19	1151	19	630	43	606	0	0	202	328	38	38
УИК №1019	1835	1800	0	592	10	1198	10	592	48	554	0	0	186	301	39	28
УИК №1020	1097	1000	0	402	9	589	9	402	37	374	0	0	109	214	29	22
УИК №1021	1646	1600	0	604	16	980	16	604	28	592	0	0	140	381	37	34
УИК №1022	1134	1100	0	438	33	629	33	438	13	458	0	0	137	251	25	45
УИК №1023	604	550	0	193	6	351	6	193	19	180	0	0	71	91	7	11
УИК №1024	458	450	0	81	13	356	13	81	7	87	0	0	25	55	4	3
УИК №1101	1321	1290	0	580	56	654	56	580	41	595	0	0	184	349	24	38
УИК №1102	1333	1360	0	610	44	706	44	610	34	620	0	0	179	369	34	38
УИК №1103	1314	1370	0	668	32	670	32	668	44	656	0	0	190	388	37	41
УИК №1104	1277	1310	0	611	27	672	27	611	31	607	0	0	200	353	32	22
УИК №1105	855	875	0	464	9	402	9	464	20	453	0	0	116	286	34	17
УИК №1106	1308	1250	0	406	90	754	90	406	40	456	0	0	156	250	28	22
УИК №1107	1209	1210	0	501	20	689	20	501	44	477	0	0	161	258	30	28
УИК №1108	1098	1100	0	446	40	614	40	446	26	460	0	0	164	240	28	28
УИК №1109	1069	1070	0	393	29	648	29	393	21	401	0	0	159	184	40	18
УИК №1110	1245	1245	0	424	27	794	27	424	21	430	0	0	166	215	25	24
УИК №1111	1374	1370	0	513	31	826	31	512	32	511	0	0	178	286	28	19
УИК №1112	1277	1290	0	378	65	847	65	378	22	421	0	0	154	221	27	19
УИК №1113	1189	1195	0	388	22	785	22	388	17	393	0	0	125	222	26	20
УИК №1114	1038	1050	0	420	28	602	28	420	32	416	0	0	142	230	19	25
УИК №1115	1189	1200	0	506	16	678	16	506	28	494	0	0	195	219	42	38
УИК №1116	1029	1035	0	326	26	683	26	326	29	323	0	0	127	158	26	12
УИК №1117	1096	1135	0	312	133	690	133	312	28	417	0	0	169	192	22	34
УИК №1118	664	685	0	238	44	403	44	238	21	261	0	0	87	156	7	11
УИК №1119	323	330	0	107	17	206	17	107	12	112	0	0	30	70	5	7
УИК №1120	105	100	0	61	3	36	3	61	2	62	0	0	19	34	6	3
УИК №1121	963	955	0	391	58	506	58	391	34	415	0	0	119	266	21	9
УИК №1122	321	325	0	179	5	141	5	179	11	173	0	0	73	88	8	4
УИК №1201	392	400	0	110	29	261	29	110	13	126	0	0	16	97	7	6
УИК №1202	176	180	0	54	15	111	15	54	3	66	0	0	10	56	0	0
УИК №1203	146	150	0	67	7	76	7	67	4	70	0	0	18	44	4	4
УИК №1204	240	250	0	111	22	117	22	111	1	132	0	0	25	96	5	6
УИК №1205	232	250	0	106	4	140	4	106	9	101	0	0	32	58	6	5
УИК №1206	210	250	0	68	10	172	10	68	0	78	0	0	13	55	7	3
УИК №1207	1267	1250	0	313	34	903	34	313	18	329	0	0	100	190	21	18
УИК №1208	1327	1250	0	379	31	840	31	379	22	388	0	0	134	205	24	25
УИК №1209	1037	1250	0	293	9	948	9	293	22	280	0	0	104	140	20	16
УИК №1210	543	500	0	177	9	314	9	177	13	173	0	0	55	100	7	11
УИК №1211	1201	1250	0	478	16	756	16	478	16	478	0	0	145	273	34	26
УИК №1212	1188	1250	0	486	8	756	8	486	17	477	0	0	165	267	24	21
УИК №1213	1108	1250	0	504	16	730	16	504	23	497	0	0	187	249	39	22
УИК №1214	1168	1250	0	518	19	713	19	518	32	505	0	0	142	309	36	18
УИК №1215	1207	1250	0	491	20	739	20	491	19	492	0	0	139	292	44	17
УИК №1216	1311	1250	0	510	26	714	26	510	46	490	0	0	151	265	46	28
УИК №1217	1290	1250	0	394	18	838	18	394	25	387	0	0	132	206	27	22
УИК №1218	1321	1250	0	361	26	863	26	361	32	355	0	0	134	170	22	29
УИК №1219	1371	1250	0	442	9	799	9	442	23	428	0	0	106	274	25	23
УИК №1220	733	700	0	215	5	480	5	215	15	205	0	0	70	119	9	7
УИК №1221	534	500	0	153	18	329	18	153	8	163	0	0	44	96	16	7
УИК №1222	703	700	0	230	20	450	20	230	11	239	0	0	78	133	14	14
УИК №1223	688	600	0	216	26	358	26	216	17	225	0	0	76	131	14	4
УИК №1224	1175	1250	0	348	33	869	33	348	37	344	0	0	119	185	26	14
УИК №1225	634	700	0	232	6	462	6	232	12	226	0	0	63	134	21	8
УИК №1280	71	150	0	53	17	80	17	53	7	63	0	0	13	39	9	2
УИК №1301	390	350	0	131	11	208	11	131	6	136	0	0	26	102	5	3
УИК №1302	150	140	0	113	3	24	3	113	3	113	0	0	12	99	1	1
УИК №1303	348	320	0	88	15	217	15	88	1	102	0	0	21	69	6	6
УИК №1304	76	70	0	26	2	42	2	26	1	27	0	0	0	25	1	1
УИК №1305	109	100	0	35	7	58	7	35	0	42	0	0	5	35	1	1
УИК №1306	167	160	0	98	26	36	26	98	6	118	0	0	3	113	1	1
УИК №1307	703	670	0	494	20	156	20	494	10	504	0	0	73	410	10	11
УИК №1308	170	150	0	78	10	62	10	78	0	88	0	0	15	69	3	1
УИК №1309	1051	900	0	347	10	543	10	347	8	349	0	0	126	192	12	19
УИК №1310	442	400	0	330	14	56	14	330	9	335	0	0	55	268	8	4
УИК №1311	566	550	0	302	7	241	7	302	2	307	0	0	57	221	15	14
УИК №1312	1031	900	0	374	23	503	23	374	13	384	0	0	137	199	34	14
УИК №1313	647	600	0	460	19	121	19	460	10	469	0	0	71	372	15	11
УИК №1314	820	800	0	664	21	115	21	664	14	671	0	0	126	514	22	9
УИК №1315	398	400	0	314	10	76	10	314	3	321	0	0	55	250	7	9
УИК №1316	892	850	0	370	24	456	24	370	15	379	0	0	111	224	21	23
УИК №1317	453	400	0	331	26	43	26	331	13	344	0	0	76	250	14	4
УИК №1318	547	500	0	183	8	309	8	183	8	183	0	0	55	99	14	15
УИК №1319	513	500	0	153	2	345	2	153	7	148	0	0	53	77	11	7
УИК №1320	447	400	0	320	31	49	31	320	9	342	0	0	19	314	6	3
УИК №1321	261	230	0	184	7	39	7	184	2	189	0	0	10	174	1	4
УИК №1322	407	380	0	236	23	121	23	236	3	256	0	0	38	210	2	6
УИК №1323	867	800	0	589	61	150	61	589	50	600	0	0	57	520	7	16
УИК №1324	300	280	0	177	45	58	45	177	8	214	0	0	11	203	0	0
УИК №1325	77	70	8	15	5	42	13	15	2	26	0	0	6	20	0	0
УИК №1326	84	70	0	45	6	19	6	45	1	50	0	0	10	40	0	0
УИК №1327	275	260	0	165	10	85	10	165	8	167	0	0	13	147	2	5
УИК №1328	74	70	0	55	6	9	6	55	1	60	0	0	6	51	2	1
УИК №1329	156	150	0	80	12	58	12	80	0	92	0	0	27	61	1	3
УИК №1330	313	280	24	196	17	43	41	196	6	231	0	0	34	183	8	6
УИК №1331	85	80	0	52	6	22	6	52	3	55	0	0	1	50	0	4
УИК №1332	546	500	0	320	19	161	19	320	11	328	0	0	38	278	5	7
УИК №1333	908	800	0	652	2	146	2	652	16	638	0	0	123	462	29	24
УИК №1334	381	350	0	282	6	62	6	282	7	281	0	0	55	213	6	7
УИК №1335	548	500	0	214	1	285	1	214	7	208	0	0	85	95	17	11
УИК №1336	352	320	0	140	4	176	4	140	8	136	0	0	65	60	3	8
УИК №1337	376	350	0	135	1	214	1	135	9	127	0	0	47	67	5	8
УИК №1338	392	350	0	121	6	223	6	121	5	122	0	0	51	54	13	4
УИК №1339	867	800	0	603	17	180	17	603	6	614	0	0	123	447	26	18
УИК №1380	43	400	0	43	0	357	0	43	2	41	0	0	22	16	2	1
УИК №1401	511	520	0	296	9	215	9	296	7	298	0	0	24	261	4	9
УИК №1402	104	100	0	72	4	24	4	72	1	75	0	0	1	74	0	0
УИК №1403	236	240	0	83	8	149	8	83	8	83	0	0	6	76	0	1
УИК №1404	114	115	0	64	0	51	0	64	8	56	0	0	8	48	0	0
