Число избирателей, внесенных в список на момент окончания голосования	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования в день голосования	Число  погашенных избирательных бюллетеней	Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования	Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Андрейченко Андрей Валерьевич	Кожемяко Олег Николаевич	Тимченко Алексей Павлович	Чемерис Роза Басировна
УИК №320	1912	1500	0	1215	13	272	13	1215	36	1192	0	0	209	921	43	19
УИК №321	2130	2000	0	1249	8	743	8	1249	40	1217	0	0	162	962	62	31
УИК №322	1194	1000	0	750	53	197	53	750	26	777	0	0	150	576	38	13
УИК №323	1585	1500	0	1058	102	340	102	1058	33	1127	0	0	218	858	32	19
УИК №324	1297	1300	0	698	8	594	8	698	34	672	0	0	134	483	39	16
УИК №325	1133	1000	0	753	12	235	12	753	17	748	0	0	131	575	26	16
УИК №326	1192	1000	0	833	26	141	26	833	17	842	0	0	122	685	28	7
УИК №327	929	900	0	283	5	612	5	283	9	279	0	0	107	143	21	8
УИК №328	1936	1900	0	745	8	1147	8	745	45	708	0	0	303	329	46	30
УИК №329	1431	1400	0	818	18	564	18	818	19	817	0	0	178	576	37	26
УИК №330	1924	1900	0	1093	16	791	16	1093	29	1080	0	0	218	826	24	12
УИК №331	2716	2500	0	2172	20	308	20	2172	69	2123	0	0	368	1658	64	33
УИК №332	777	700	0	567	4	129	4	567	23	548	0	0	96	422	16	14
УИК №333	1712	1500	0	1261	4	235	4	1261	25	1240	0	0	143	1055	32	10
УИК №334	1584	1500	0	1325	18	157	18	1325	30	1313	0	0	183	1086	24	20
УИК №335	2167	2000	0	1143	43	814	43	1143	74	1112	0	0	90	964	36	22
УИК №336	1520	1500	0	671	0	829	0	671	135	536	0	0	171	309	30	26
УИК №337	1711	1500	0	1173	9	318	9	1173	27	1155	0	0	144	961	30	20
УИК №338	514	400	0	147	13	240	13	147	3	157	0	0	67	76	7	7
УИК №339	1447	1400	0	1116	21	263	21	1116	0	1137	0	0	135	967	24	11
УИК №340	1240	1000	0	904	14	82	14	904	9	909	0	0	83	801	11	14
УИК №341	1375	1000	0	809	25	166	25	809	8	826	0	0	191	584	30	21
УИК №342	1623	1500	0	1218	98	184	98	1218	31	1285	0	0	174	1031	54	26
УИК №343	1499	1400	0	1117	19	264	19	1117	23	1113	0	0	178	881	35	19
УИК №344	928	900	0	590	21	289	21	590	8	603	0	0	69	512	15	7
УИК №345	1521	1500	0	1007	15	478	15	1007	58	964	0	0	242	670	27	25
УИК №346	2453	2000	0	1779	21	200	21	1779	40	1760	0	0	322	1348	56	34
УИК №347	2073	2000	0	1079	17	904	17	1079	40	1056	0	0	105	876	46	29
УИК №348	1147	1000	0	844	15	141	15	844	24	835	0	0	136	649	30	20
УИК №349	1192	1000	0	880	3	117	3	880	28	855	0	0	123	695	22	15
УИК №350	681	600	0	527	4	69	4	527	23	508	0	0	92	394	11	11
УИК №351	758	700	0	497	27	176	27	497	5	519	0	0	73	427	8	11
УИК №352	296	250	0	156	32	62	32	156	8	180	0	0	25	141	11	3
УИК №353	1464	1400	0	854	80	466	80	854	33	901	0	0	153	691	35	22
УИК №354	2023	2000	0	1389	20	591	20	1389	20	1389	0	0	200	1126	36	27
УИК №355	761	740	0	445	31	264	31	445	6	470	0	0	44	387	25	14
УИК №356	1554	1500	0	851	5	644	5	851	29	827	0	0	166	601	36	24
УИК №380	343	500	0	336	0	164	0	336	1	335	0	0	29	298	4	4
УИК №381	56	500	0	54	0	446	0	54	2	52	0	0	37	15	0	0
УИК №382	98	500	0	83	0	417	0	83	2	81	0	0	28	40	5	8
УИК №383	210	500	0	210	0	290	0	210	0	210	0	0	29	168	9	4
УИК №384	130	500	0	126	0	374	0	126	1	125	0	0	44	65	7	9
УИК №385	470	1000	0	470	0	530	0	470	3	467	0	0	42	410	6	9
УИК №401	1066	1060	0	262	28	770	28	262	29	261	0	0	89	135	22	15
УИК №402	1410	1440	0	609	9	822	9	609	24	594	0	0	188	323	44	39
УИК №403	2597	2665	0	1158	33	1474	33	1157	58	1132	0	0	381	612	80	59
УИК №404	2503	2530	0	1154	28	1348	28	1153	81	1100	0	0	370	592	84	54
УИК №405	2437	2490	0	985	28	1477	28	985	56	957	0	0	327	516	62	52
УИК №406	2686	2710	0	1135	23	1552	23	1135	51	1107	0	0	413	558	70	66
УИК №407	2683	2725	0	1069	36	1620	36	1069	75	1030	0	0	341	552	79	58
УИК №408	2540	2560	0	1103	13	1444	13	1102	61	1054	0	0	384	528	91	51
УИК №409	2692	2710	0	1245	6	1459	6	1245	65	1186	0	0	404	623	103	56
УИК №410	2634	2670	0	931	11	1728	11	929	68	872	0	0	320	441	61	50
УИК №411	2600	2645	0	928	16	1701	16	927	55	888	0	0	330	442	71	45
УИК №412	1456	1470	0	481	5	984	5	481	35	451	0	0	186	184	40	41
УИК №413	1317	1325	0	467	12	846	12	467	27	452	0	0	147	239	46	20
УИК №501	1436	1200	0	651	9	540	9	651	18	642	0	0	235	308	49	50
УИК №502	1254	1000	0	491	9	500	9	491	15	485	0	0	163	250	48	24
УИК №503	1889	1300	0	668	19	613	19	668	29	658	0	0	257	312	61	28
УИК №504	1602	1150	0	598	11	541	11	597	30	578	0	0	215	291	53	19
УИК №505	868	600	0	312	4	284	4	312	12	304	0	0	95	172	26	11
УИК №506	1165	1000	0	393	11	596	11	393	16	388	0	0	156	190	26	16
УИК №507	1675	1250	0	709	10	531	10	709	18	701	0	0	176	504	14	7
УИК №508	1537	1100	0	513	6	581	6	513	9	510	0	0	128	367	10	5
УИК №509	694	500	0	272	4	224	4	272	9	267	0	0	130	103	20	14
УИК №510	1683	1200	0	649	26	525	26	648	22	652	0	0	262	303	69	18
УИК №511	1244	1000	0	516	1	483	1	515	19	497	0	0	197	246	34	20
УИК №512	1747	1250	0	542	12	696	12	542	23	531	0	0	227	221	51	32
УИК №513	1415	1000	0	526	1	473	1	526	18	509	0	0	232	223	39	15
УИК №514	1525	1100	0	579	2	519	2	578	25	555	0	0	252	223	55	25
УИК №515	2259	1600	0	904	4	692	4	904	40	868	0	0	343	408	68	49
УИК №516	2460	1800	0	849	12	939	12	849	33	828	0	0	364	356	71	37
УИК №517	2712	1900	0	937	3	960	3	936	39	900	0	0	397	375	90	38
УИК №518	2069	1500	0	725	5	770	5	725	28	702	0	0	283	314	71	34
УИК №519	2276	1700	0	777	10	913	10	777	20	767	0	0	193	552	15	7
УИК №520	1992	1400	0	547	1	852	1	547	36	512	0	0	260	183	49	20
УИК №521	2437	1700	0	891	2	807	2	890	38	854	0	0	339	387	79	49
УИК №522	1118	1000	0	429	11	560	11	429	23	417	0	0	144	227	31	15
УИК №523	1599	1200	0	601	14	585	14	601	28	587	0	0	219	296	48	24
УИК №524	1785	1300	0	611	3	686	3	611	26	588	0	0	240	266	55	27
