УИК №119	2096	1500	603	55	842	55	597	18	634	0	0		158	336	140
УИК №120	1781	1500	438	8	1054	8	438	8	438	0	0		127	226	85
УИК №121	1653	1500	512	34	954	34	512	13	533	0	0		123	316	94
УИК №122	1475	1500	452	6	1042	6	450	13	443	0	0		93	260	90
УИК №123	1695	1500	398	10	1092	10	396	12	394	0	0		99	206	89
УИК №124	1901	1500	494	3	1003	3	494	10	487	0	0		137	260	90
УИК №125	1655	1500	392	5	1103	4	392	14	382	0	0		113	210	59
УИК №126	1453	1500	459	5	1036	5	457	22	440	0	0		75	266	99
УИК №127	1679	1500	526	7	967	7	525	15	517	0	0		126	291	100
УИК №128	2190	2000	560	6	1434	6	560	15	551	0	0		158	278	115
УИК №129	1678	1500	407	7	1086	7	407	14	400	0	0		82	245	73
УИК №130	2069	2000	455	6	1539	6	455	12	449	0	0		107	237	105
УИК №131	1242	1000	375	0	625	0	375	11	364	0	0		112	154	98
УИК №132	2115	2000	683	10	1307	10	682	19	673	0	0		166	372	135
УИК №133	2118	2000	632	10	1358	10	632	16	626	0	0		123	372	131
УИК №134	1954	2500	845	2	1653	2	845	34	813	0	0		141	446	226
УИК №135	2132	2000	624	6	1370	6	624	21	609	0	0		155	312	142
УИК №136	1758	1500	605	18	877	18	581	18	581	0	0		137	326	118
УИК №137	1186	1000	586	7	407	7	586	18	575	0	0		115	351	109
УИК №138	1793	1500	495	6	999	6	494	15	485	0	0		107	272	106
УИК №139	1667	1500	557	38	905	38	555	14	579	0	0		117	356	106
УИК №140	1655	1500	490	12	998	12	489	13	488	0	0		128	275	85
УИК №141	1859	1500	502	5	993	5	500	12	493	0	0		97	283	113
УИК №142	1785	1500	527	40	933	40	522	19	543	0	0		107	329	107
УИК №143	1240	1000	350	4	646	4	346	12	338	0	0		72	198	68
УИК №144	1661	1500	484	7	1009	7	484	12	479	0	0		108	277	94
УИК №145	2166	2000	578	7	1415	7	578	23	562	0	0		124	305	133
УИК №146	1488	1500	301	2	1197	2	300	4	298	0	0		56	177	65
УИК №147	1955	2000	510	12	1478	12	509	9	512	0	0		106	312	94
УИК №148	2515	2000	733	22	1245	22	726	13	735	0	0		183	384	168
УИК №149	1825	1500	577	18	905	18	572	9	581	0	0		131	325	125
УИК №150	1590	1500	599	18	883	18	598	15	601	0	0		154	332	115
УИК №151	2043	2000	641	9	1350	9	640	23	626	0	0		145	354	127
УИК №152	1944	2000	600	10	1390	10	598	28	580	0	0		151	314	115
УИК №153	2177	2000	694	16	1290	16	685	18	683	0	0		148	401	134
УИК №154	1805	1500	611	6	883	6	610	28	588	0	0		116	361	111
УИК №155	1103	1000	377	4	619	4	377	8	373	0	0		73	219	81
УИК №156	2267	2000	685	5	1310	5	685	26	664	0	0		115	422	127
УИК №157	1465	1500	464	16	1020	16	464	15	465	0	0		106	282	77
УИК №158	674	500	241	1	258	1	241	4	238	0	0		53	152	33
УИК №159	1520	1500	488	6	1006	6	481	12	475	0	0		99	280	96
УИК №160	1706	1500	538	11	951	11	538	15	534	0	0		117	332	85
УИК №161	1735	1500	506	13	981	13	506	12	507	0	0		106	293	108
УИК №162	1528	1500	502	3	995	3	502	13	492	0	0		126	272	94
УИК №163	1284	1000	318	12	670	12	318	14	316	0	0		64	188	64
УИК №164	1827	1500	643	10	847	10	633	25	618	0	0		120	393	105
УИК №165	1831	1500	579	13	908	13	573	17	569	0	0		122	345	102
УИК №166	1901	2000	584	7	1409	7	584	8	583	0	0		128	356	99
УИК №167	2182	2000	566	2	1432	2	553	17	538	0	0		183	238	117
УИК №168	2746	2000	747	6	1247	6	715	15	706	0	0		214	341	151
УИК №169	1489	1500	479	9	1012	9	479	23	465	0	0		79	295	91
УИК №170	2305	2000	736	7	1257	7	736	25	718	0	0		195	413	110
УИК №171	1382	1500	518	43	939	43	518	15	546	0	0		118	326	102
УИК №172	2078	2000	646	7	1347	7	646	20	633	0	0		154	369	110
УИК №173	1917	1500	584	17	899	17	584	16	585	0	0		137	320	128
УИК №174	2147	2000	599	8	1393	8	599	17	590	0	0		160	300	130
УИК №175	1934	1500	510	13	977	13	510	16	507	0	0		128	303	76
УИК №176	2235	2000	599	10	1391	9	599	16	592	0	0		111	355	126
УИК №177	2062	2000	584	80	1336	79	582	14	647	0	0		151	380	116
УИК №178	1977	2000	546	198	1256	196	546	26	716	0	0		199	371	146
УИК №179	2384	2000	614	9	1377	9	613	23	599	0	0		182	280	137
УИК №180	1190	1000	366	0	634	0	366	12	354	0	0		86	158	110
УИК №181	1402	1000	348	0	652	0	347	9	338	0	0		74	170	94
УИК №182	1555	1500	436	1	1063	1	436	16	421	0	0		134	185	102
УИК №183	2017	1500	538	1	961	1	538	14	525	0	0		170	176	179
УИК №184	123	200	107	0	93	0	107	0	107	0	0		5	86	16
УИК №185	242	800	0	220	580	220	0	2	218	0	0		35	150	33
УИК №186	436	800	90	346	364	346	90	0	436	0	0		56	368	12
УИК №2306	421	500	419	2	79	2	419	0	421	0	0		50	363	8
УИК №2307	179	250	116	17	117	17	116	4	129	0	0		3	118	8
УИК №2308	300	300	287	13	0	13	287	5	295	0	0		11	269	15
УИК №2309	335	400	248	47	105	47	248	3	292	0	0		23	241	28
УИК №2310	134	150	123	0	27	0	123	3	120	0	0		8	108	4
УИК №2311	375	500	255	12	233	12	255	7	260	0	0		15	234	11
УИК №2312	220	300	193	27	80	27	193	5	215	0	0		23	179	13
УИК №2313	281	300	191	15	94	15	191	2	204	0	0		27	156	21
УИК №2376	260	450	250	10	190	10	250	4	256	0	0		19	219	18
УИК №2377	208	250	165	3	82	3	165	2	166	0	0		4	155	7
															
УИК №199	2097	2000	496	8	1496	8	496	19	485	0	0		81	295	109
УИК №200	2366	2000	583	5	1412	5	583	20	568	0	0		75	368	125
УИК №201	1659	1500	373	12	1115	12	373	12	373	0	0		46	244	83
УИК №202	1666	1500	406	4	1090	4	406	11	399	0	0		63	282	54
УИК №203	859	800	143	1	656	1	143	7	137	0	0		37	71	29
УИК №204	1792	1500	440	10	1050	10	440	8	442	0	0		69	296	77
УИК №205	2000	2000	525	75	1400	75	523	20	578	0	0		99	382	97
УИК №206	2017	2000	529	104	1367	104	529	14	619	0	0		88	424	107
УИК №207	1263	1000	397	9	594	9	396	8	397	0	0		79	248	70
УИК №208	2528	2000	645	7	1348	7	645	15	637	0	0		137	368	132
УИК №209	2081	2000	527	12	1461	12	526	10	528	0	0		97	333	98
УИК №210	2366	2000	705	51	1244	51	705	25	731	0	0		127	481	123
УИК №211	2814	2000	664	5	1331	5	664	11	658	0	0		130	404	124
УИК №212	2282	2000	615	59	1326	57	614	17	654	0	0		105	423	126
УИК №213	2230	2000	616	96	1288	96	604	14	686	0	0		121	463	102
УИК №214	2420	2000	671	95	1234	95	671	10	756	0	0		112	514	130
УИК №215	2395	2000	649	19	1332	19	649	23	645	0	0		128	389	128
УИК №216	1957	1500	548	52	900	52	548	20	580	0	0		93	404	83
УИК №217	2223	2000	607	16	1377	16	607	11	612	0	0		84	393	135
УИК №218	2204	2000	534	10	1456	10	532	21	521	0	0		81	338	102
УИК №219	2139	2000	524	13	1463	13	522	23	512	0	0		115	316	81
УИК №220	2119	2000	621	18	1361	18	620	8	630	0	0		105	390	135
УИК №221	1663	1500	425	14	1061	14	425	10	429	0	0		45	328	56
УИК №222	2194	2000	651	18	1331	18	651	38	631	0	0		116	419	96
УИК №223	1723	1500	701	7	792	7	701	9	699	0	0		67	563	69
УИК №224	1507	1500	434	17	1049	17	434	12	439	0	0		83	298	58
УИК №225	2019	1500	658	13	829	13	658	14	657	0	0		107	451	99
УИК №226	2117	2000	563	6	1431	6	563	16	553	0	0		84	366	103
УИК №227	2321	2000	568	22	1410	22	564	14	572	0	0		80	387	105
УИК №228	2139	2000	572	8	1420	8	572	6	574	0	0		102	387	85
УИК №229	2219	2000	1591	14	395	14	1591	15	1590	0	0		64	1442	84
УИК №230	1730	1500	487	10	1003	10	487	18	479	0	0		60	332	87
УИК №231	1664	1500	527	9	964	9	527	11	525	0	0		111	331	83
УИК №232	2369	2000	1214	18	768	18	1214	0	1232	0	0		72	1121	39
УИК №233	1993	1500	604	13	883	13	604	14	603	0	0		98	405	100
УИК №234	1962	1500	809	15	676	15	809	13	811	0	0		90	593	128
УИК №235	2217	1500	715	16	769	16	715	23	708	0	0		101	490	117
УИК №236	1972	1500	789	17	694	17	789	22	784	0	0		65	628	91
УИК №237	1904	1500	544	17	939	17	544	26	535	0	0		85	367	83
УИК №238	1658	1500	484	47	969	47	484	8	523	0	0		75	362	86
УИК №239	2747	2000	654	11	1335	11	651	13	649	0	0		89	434	126
УИК №240	1745	1500	378	17	1105	17	373	10	380	0	0		35	316	29
УИК №241	1877	1500	504	11	985	11	504	17	498	0	0		107	292	99
УИК №242	1775	1500	540	32	928	32	539	20	551	0	0		92	374	85
УИК №243	2200	2000	594	13	1393	13	594	16	591	0	0		102	391	98
УИК №244	2099	2000	587	13	1400	13	586	9	590	0	0		102	393	95
															
УИК №414	1922	1500	492	6	1002	6	491	12	485	0	0		158	231	96
УИК №415	1816	1500	472	8	1020	8	450	7	451	0	0		112	283	56
УИК №416	2951	2500	742	9	1749	9	742	27	724	0	0		191	382	151
УИК №417	2720	2000	765	16	1219	16	765	16	765	0	0		182	464	119
УИК №418	1936	1500	541	10	949	10	540	7	543	0	0		144	321	78
УИК №419	1997	1500	420	13	1067	13	420	14	419	0	0		111	205	103
УИК №420	2234	2000	599	13	1388	13	599	19	593	0	0		150	349	94
УИК №421	2726	2000	638	7	1355	7	638	10	635	0	0		181	282	172
УИК №422	2332	2000	594	1	1405	1	593	17	577	0	0		150	309	118
УИК №423	1945	1500	488	7	1005	7	488	19	476	0	0		132	264	80
УИК №424	2245	2000	574	13	1413	13	570	8	575	0	0		144	364	67
УИК №425	2079	1500	604	6	890	6	596	22	580	0	0		181	320	79
УИК №426	2289	2000	653	11	1336	11	653	13	651	0	0		166	376	109
УИК №427	2168	2000	602	11	1387	11	602	17	596	0	0		150	361	85
УИК №428	1960	1500	537	59	904	59	537	24	572	0	0		133	350	89
УИК №429	1852	1500	494	11	995	11	494	12	493	0	0		129	273	91
УИК №430	2178	2000	652	15	1333	15	643	20	638	0	0		170	338	130
УИК №431	1877	1500	439	6	1055	6	439	13	432	0	0		114	256	62
УИК №432	1918	1500	531	13	956	13	529	23	519	0	0		132	310	77
УИК №433	2036	1500	466	15	1019	15	465	18	462	0	0		141	237	84
УИК №434	2065	2000	575	15	1410	15	572	6	581	0	0		153	322	106
УИК №435	1901	1500	498	16	986	16	498	16	498	0	0		95	299	104
УИК №436	2120	1500	620	15	865	15	602	25	592	0	0		189	309	94
УИК №437	1814	1500	484	27	989	27	483	14	496	0	0		129	286	81
УИК №438	2206	2000	563	15	1422	15	555	13	557	0	0		134	343	80
УИК №439	2213	2000	660	4	1336	4	653	10	647	0	0		147	416	84
УИК №440	2866	2500	722	9	1769	9	713	28	694	0	0		179	380	135
УИК №441	2530	2000	615	12	1373	12	613	18	607	0	0		173	344	90
УИК №442	2151	2000	574	11	1415	11	574	9	576	0	0		111	374	91
УИК №443	2155	2000	548	7	1445	7	548	20	535	0	0		121	320	94
УИК №444	1752	1500	508	4	988	4	508	27	485	0	0		93	305	87
УИК №445	2174	2000	586	9	1405	9	586	12	583	0	0		116	348	119
УИК №446	1786	1500	465	6	1029	6	451	17	440	0	0		103	265	72
УИК №447	2244	2000	609	18	1373	18	609	10	617	0	0		74	454	89
УИК №448	2462	2000	555	9	1436	9	554	16	547	0	0		94	353	100
УИК №449	2444	2000	610	13	1377	13	607	16	604	0	0		107	376	121
УИК №450	2211	2000	571	12	1417	12	570	14	568	0	0		88	380	100
УИК №451	2009	1500	457	5	1038	5	457	9	453	0	0		74	297	82
УИК №452	2535	2000	576	9	1415	9	574	16	567	0	0		86	363	118
УИК №453	3010	2500	688	7	1805	7	688	17	678	0	0		142	378	158
УИК №454	1744	1500	414	17	1069	17	411	9	419	0	0		79	283	57
УИК №455	2129	2000	523	8	1469	8	523	16	515	0	0		93	325	97
УИК №456	2372	2000	605	11	1384	11	601	16	596	0	0		144	352	100
УИК №457	2220	2000	510	8	1482	8	510	9	509	0	0		122	302	85
УИК №458	2414	2500	574	12	1914	12	574	15	571	0	0		131	339	101
УИК №459	2421	2000	601	6	1393	4	598	13	589	0	0		99	350	140
УИК №460	2154	2000	514	13	1473	13	501	18	496	0	0		84	319	93
УИК №461	2306	2000	619	14	1367	14	619	16	617	0	0		111	400	106
УИК №462	1748	1500	399	12	1089	12	397	9	400	0	0		115	225	60
УИК №463	2057	1500	515	13	972	13	515	14	514	0	0		93	312	109
УИК №464	2119	2000	492	7	1501	7	492	4	495	0	0		77	325	93
УИК №465	1878	1500	461	7	1032	7	459	9	457	0	0		104	273	80
УИК №466	2294	2000	521	13	1466	13	521	18	516	0	0		95	329	92
УИК №467	1864	1500	417	7	1076	7	417	5	419	0	0		88	257	74
УИК №468	1899	1500	502	5	993	5	502	24	483	0	0		96	329	58
УИК №469	2458	2000	529	6	1465	6	529	3	532	0	0		52	407	73
УИК №470	2213	1500	526	6	968	6	495	21	480	0	0		78	301	101
УИК №471	2140	1500	486	7	1007	7	473	13	467	0	0		86	267	114
УИК №472	2586	2000	578	10	1412	10	578	10	578	0	0		123	362	93
УИК №473	2104	1500	455	9	1036	9	455	16	448	0	0		64	307	77
УИК №474	2422	2000	514	16	1470	16	514	10	520	0	0		76	344	100
УИК №475	2347	2000	515	10	1475	10	495	13	492	0	0		69	334	89
УИК №476	1438	1000	364	6	630	6	360	12	354	0	0		69	207	78
УИК №477	2880	2000	680	7	1313	7	680	17	670	0	0		124	460	86
УИК №478	2403	2000	573	10	1417	10	571	25	556	0	0		122	358	76
УИК №479	2410	2000	628	6	1366	6	622	19	609	0	0		109	451	49
УИК №480	2566	2000	590	9	1401	9	589	13	585	0	0		94	377	114
УИК №481	2589	2000	637	8	1355	8	620	20	608	0	0		80	432	96
УИК №482	2433	2000	552	8	1440	8	552	15	545	0	0		116	337	92
УИК №483	1771	1500	423	3	1074	3	423	5	421	0	0		80	257	84
УИК №484	2272	2000	585	10	1405	10	585	24	571	0	0		124	330	117
УИК №485	2709	2000	661	10	1329	10	661	21	650	0	0		110	407	133
УИК №486	2520	2000	583	0	1417	0	583	11	572	0	0		102	375	95
УИК №487	1973	1500	551	9	940	9	551	5	555	0	0		76	402	77
УИК №488	1799	1500	455	8	1037	8	455	15	448	0	0		79	281	88
УИК №489	1901	1500	519	25	956	25	519	16	528	0	0		87	348	93
УИК №490	1946	1500	571	6	923	6	571	15	562	0	0		72	392	98
УИК №491	1832	1500	450	14	1036	14	450	10	454	0	0		72	307	75
УИК №492	2197	2000	489	2	1509	2	489	8	483	0	0		73	336	74
УИК №493	2224	2000	559	6	1435	6	559	14	551	0	0		119	333	99
УИК №494	1982	1500	480	6	1014	6	480	19	467	0	0		81	299	87
