УИК №317	1812	1800	0	256	6	1538	6	256	9	253	0	0	25	111	5	83	29
УИК №318	1662	1500	0	303	9	1188	9	303	10	302	0	0	15	81	10	162	34
УИК №319	1150	1100	0	230	8	862	8	230	9	229	0	0	12	70	14	110	23
УИК №320	1940	1900	0	539	4	1357	4	539	23	520	0	0	27	190	25	213	65
УИК №321	2148	2000	0	876	5	1119	5	876	5	876	0	0	22	98	31	690	35
УИК №322	1183	1000	0	292	27	681	27	292	16	303	0	0	20	99	17	130	37
УИК №323	1549	1500	0	264	97	1139	97	264	10	351	0	0	19	157	18	123	34
УИК №324	1293	1200	0	355	5	840	5	355	42	318	0	0	31	105	22	123	37
УИК №325	1128	1100	0	373	11	716	11	373	3	381	0	0	11	42	6	308	14
УИК №326	1165	1100	0	187	5	908	5	187	5	187	0	0	15	59	7	79	27
УИК №327	919	900	0	164	3	733	3	164	5	162	0	0	11	52	8	73	18
УИК №328	2077	2000	0	638	3	1359	3	638	42	599	0	0	46	224	32	234	63
УИК №329	1477	1400	0	389	5	1006	5	389	14	380	0	0	32	132	17	155	44
УИК №330	1906	1700	0	399	15	1286	15	399	20	394	0	0	26	160	19	140	49
УИК №331	2729	2700	0	545	2	2153	2	545	25	522	0	0	44	177	30	219	52
УИК №332	776	700	0	129	0	571	0	129	3	126	0	0	14	51	9	39	13
УИК №333	1745	1700	0	359	3	1338	3	359	7	355	0	0	19	86	11	199	40
УИК №334	1614	1600	0	423	31	1146	31	423	5	449	0	0	27	130	18	238	36
УИК №335	2189	2000	0	363	30	1607	30	363	11	382	0	0	35	142	23	150	32
УИК №336	1552	1500	0	348	2	1150	2	348	12	338	0	0	29	141	17	108	43
УИК №337	1961	1800	0	467	4	1329	4	467	17	454	0	0	52	150	24	145	83
УИК №338	484	400	0	78	18	304	18	78	1	95	0	0	7	39	10	31	8
УИК №339	1426	1400	0	361	44	995	44	361	4	401	0	0	36	86	9	249	21
УИК №340	1232	1200	0	540	21	639	21	540	13	548	0	0	28	92	13	384	31
УИК №341	1362	1300	0	386	16	898	16	386	10	392	0	0	8	46	7	317	14
УИК №342	1631	1600	0	426	84	1090	84	426	15	495	0	0	45	136	15	260	39
УИК №343	1496	1500	0	384	29	1087	29	384	15	398	0	0	22	114	16	216	30
УИК №344	926	900	0	167	50	683	50	167	1	216	0	0	16	49	11	123	17
УИК №345	1519	1500	0	392	11	1097	11	392	12	391	0	0	37	160	20	133	41
УИК №346	2462	2400	0	475	7	1918	7	475	8	474	0	0	33	145	31	220	45
УИК №347	2075	2000	0	447	6	1547	6	447	17	436	0	0	34	121	25	199	57
УИК №348	1154	1100	0	262	9	829	9	262	8	263	0	0	25	62	14	138	24
УИК №349	1174	1100	0	362	20	718	20	362	7	375	0	0	16	62	3	254	40
УИК №350	671	600	0	149	7	444	7	149	0	156	0	0	19	28	5	81	23
УИК №351	756	700	0	431	37	232	37	431	3	465	0	0	2	11	1	448	3
УИК №352	291	240	0	89	25	126	25	89	3	111	0	0	6	17	1	63	24
УИК №353	1439	1400	0	249	18	1133	18	249	7	260	0	0	22	92	17	111	18
УИК №354	2032	2000	0	531	15	1454	15	531	21	525	0	0	50	181	36	194	64
УИК №355	782	700	0	255	11	434	11	255	0	266	0	0	24	53	14	151	24
УИК №356	1500	1500	0	316	3	1181	3	316	8	311	0	0	16	56	15	209	15
УИК №380	204	1000	0	190	0	810	0	190	3	187	0	0	10	18	4	143	12
УИК №381	39	1000	0	34	0	966	0	34	0	34	0	0	5	13	1	11	4
																	
УИК №401	1058	1060	0	267	25	768	25	267	22	270	0	0	38	79	8	111	34
УИК №402	1420	1440	0	559	9	872	9	559	26	542	0	0	61	138	43	225	75
УИК №403	2635	2665	0	885	18	1762	18	885	49	854	0	0	85	264	71	336	98
УИК №404	2503	2530	0	986	25	1519	25	986	70	941	0	0	82	260	55	417	127
УИК №405	2446	2490	0	795	16	1679	16	795	46	765	0	0	85	233	38	319	90
УИК №406	2684	2710	0	867	17	1826	17	867	55	829	0	0	80	277	58	309	105
УИК №407	2661	2725	0	827	28	1870	28	827	35	820	0	0	104	264	48	315	89
УИК №408	2536	2560	0	849	15	1696	15	848	47	816	0	0	63	276	54	309	114
УИК №409	2703	2710	0	962	3	1745	3	962	53	912	0	0	88	300	48	361	115
УИК №410	2627	2670	0	746	7	1917	7	746	32	721	0	0	53	239	48	269	112
УИК №411	2617	2645	0	762	12	1871	12	762	46	728	0	0	85	216	45	271	111
УИК №412	1453	1470	0	380	1	1089	1	380	20	361	0	0	43	127	22	116	53
УИК №413	1307	1325	0	351	7	967	7	351	18	340	0	0	38	85	11	154	52
																	
УИК №501	1544	1100	0	595	6	499	6	595	18	583	0	0	80	141	45	188	129
УИК №502	1219	1000	0	316	5	679	5	316	10	311	0	0	32	82	26	142	29
УИК №503	1859	1300	0	403	11	886	11	403	9	405	0	0	42	137	27	140	59
УИК №504	1586	1100	0	373	8	719	8	373	3	378	0	0	39	132	31	140	36
УИК №505	855	600	0	190	2	408	2	190	2	190	0	0	7	55	9	93	26
УИК №506	1179	1000	0	227	5	768	5	227	3	229	0	0	17	73	16	95	28
УИК №507	1694	1200	0	506	5	689	5	506	22	489	0	0	65	138	34	190	62
УИК №508	1516	1100	0	363	6	731	6	361	6	361	0	0	38	122	36	132	33
УИК №509	656	500	0	170	0	330	0	170	2	168	0	0	21	58	7	65	17
УИК №510	1676	1100	0	377	7	716	7	377	4	380	0	0	41	136	30	132	41
УИК №511	1223	1000	0	261	1	738	1	260	6	255	0	0	22	94	24	97	18
УИК №512	1740	1200	0	286	12	902	12	286	7	291	0	0	32	115	27	95	22
УИК №513	1420	1000	0	315	6	679	6	315	14	307	0	0	27	99	27	125	29
УИК №514	1524	1000	0	357	2	641	2	357	10	349	0	0	25	140	23	123	38
УИК №515	2260	1600	0	583	2	1015	2	583	12	573	0	0	46	209	32	224	62
УИК №516	2465	1800	0	492	10	1298	10	492	9	493	0	0	43	176	63	167	44
УИК №517	2686	1900	0	555	2	1343	2	554	5	551	0	0	45	200	49	202	55
УИК №518	2059	1500	0	439	6	1055	6	439	5	440	0	0	48	176	35	144	37
УИК №519	2288	1700	0	448	3	1249	3	448	10	441	0	0	52	137	41	156	55
УИК №520	1969	1400	0	284	0	1116	0	283	8	275	0	0	38	99	20	97	21
УИК №521	2428	1700	0	603	1	1096	1	603	20	584	0	0	72	176	39	208	89
УИК №522	1092	1000	0	270	3	727	3	270	4	269	0	0	27	84	17	110	31
УИК №523	1600	1200	0	369	5	826	5	369	6	368	0	0	45	118	33	133	39
УИК №524	1785	1300	0	327	0	973	0	327	5	322	0	0	40	99	27	128	28
УИК №525	2689	1800	0	450	147	1203	147	450	11	586	0	0	70	190	44	229	53
УИК №526	1723	1300	0	338	9	953	9	338	11	336	0	0	32	106	30	144	24
УИК №527	1900	1300	0	460	8	832	8	460	10	458	0	0	34	168	38	174	44
УИК №528	2246	1600	0	349	3	1248	3	349	4	348	0	0	33	119	23	142	31
УИК №529	2364	1700	0	439	0	1261	0	439	9	430	0	0	47	172	29	130	52
УИК №530	1972	1400	0	382	0	1018	0	381	13	368	0	0	32	137	24	135	40
УИК №531	1627	1200	0	272	3	925	3	272	6	269	0	0	23	118	22	67	39
УИК №532	2172	1600	0	388	3	1209	3	388	11	380	0	0	48	125	26	145	36
УИК №533	2154	1500	0	366	5	1129	5	365	6	364	0	0	35	137	23	131	38
УИК №534	1997	1400	0	388	9	1003	9	388	14	383	0	0	41	137	34	121	50
УИК №535	2385	1700	0	388	2	1310	2	388	5	385	0	0	50	135	35	128	37
УИК №536	2032	1500	0	389	9	1102	9	389	10	388	0	0	38	150	29	135	36
УИК №537	2094	1500	0	523	8	969	8	523	8	523	0	0	40	222	48	161	52
УИК №538	2128	1500	0	516	19	965	19	515	14	520	0	0	68	178	39	190	45
УИК №539	2294	1700	0	317	15	1368	15	317	6	326	0	0	34	111	26	122	33
УИК №540	2239	1600	0	314	15	1271	15	314	9	320	0	0	26	104	40	114	36
УИК №541	881	600	0	238	4	358	4	238	7	235	0	0	37	71	16	80	31
УИК №542	2158	1600	0	332	1	1267	1	332	2	331	0	0	39	127	28	99	38
УИК №543	2530	1800	0	397	12	1391	12	397	12	397	0	0	46	133	42	134	42
УИК №544	2340	1700	0	352	5	1343	5	352	5	352	0	0	38	131	36	102	45
УИК №545	1810	1300	0	300	1	999	1	300	3	298	0	0	31	119	19	98	31
УИК №546	859	600	0	196	1	403	1	196	3	194	0	0	20	74	19	61	20
