	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число полученных открепительных  удостоверений	Число открепительных удостоверений, выданных избирателям на избирательном участке	Число избирателей, проголосовавших по открепительным удостоверениям	Число неиспользованных открепительных удостоверений	Число открепительных удостоверений, выданных избирателям ТИК	Число утраченных открепительных удостоверений	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Жириновский Владимир Вольфович	Зюганов Геннадий Андреевич	Миронов Сергей Михайлович	Прохоров Михаил Дмитриевич	Путин Владимир Владимирович
УИК №1792	1768	1400	0	1041	27	332	27	1040	23	1044	40	32	52	8	1	0	0	0	55	221	60	264	444
УИК №1793	2453	1900	0	1446	43	411	43	1444	24	1463	35	32	127	3	16	0	0	0	100	297	60	305	701
УИК №1794	2164	1750	0	1108	59	583	59	1107	39	1127	45	35	29	10	7	0	0	0	83	223	67	210	544
УИК №1795	1655	1300	0	932	36	332	36	931	35	932	50	40	91	10	1	0	0	0	60	185	46	212	429
УИК №1796	2800	2200	0	1525	38	637	38	1521	24	1535	80	71	65	9	4	0	0	0	139	288	74	268	766
УИК №1797	2722	2150	0	1386	59	705	59	1386	20	1425	60	53	74	7	3	0	0	0	98	270	69	270	718
УИК №1798	1732	1500	0	1012	24	464	24	1012	24	1012	60	58	96	2	1	0	0	0	48	206	52	231	475
УИК №1799	1943	1600	0	1091	55	454	55	1089	27	1117	55	37	59	18	1	0	0	0	64	207	66	207	573
УИК №1800	2317	2000	0	1333	32	635	32	1333	27	1338	75	62	72	13	4	0	0	0	68	305	71	273	621
УИК №1801	2045	1800	0	1150	42	608	42	1150	17	1175	50	45	44	5	2	0	0	0	81	237	66	224	567
УИК №180	2039	1500	0	1265	42	193	42	1263	40	1265	30	25	49	5	0	0	0	0	51	266	69	411	468
УИК №1802	1343	1100	0	765	20	315	20	762	19	763	30	27	52	3	1	0	0	0	53	149	53	142	366
УИК №1803	2658	2500	0	1473	69	958	69	1473	29	1513	70	66	59	4	1	0	0	0	101	294	92	315	711
УИК №1804	2714	2500	0	1348	52	1100	52	1346	23	1375	65	57	48	8	5	0	0	0	102	292	68	270	643
УИК №1805	2215	1900	0	1187	47	666	47	1184	23	1208	55	41	33	14	5	0	0	0	51	224	49	135	749
УИК №1806	2005	1800	0	1141	65	594	65	1140	21	1184	55	48	35	7	8	0	0	0	91	237	41	164	651
УИК №1807	2427	2100	0	1456	22	622	22	1447	39	1430	70	60	47	10	0	0	0	0	96	263	64	258	749
УИК №1808	2381	2000	0	1394	155	451	155	1394	32	1517	60	54	31	6	2	0	0	0	91	204	48	98	1076
УИК №1809	1174	1000	0	685	54	261	54	685	23	716	40	30	41	10	0	0	0	0	36	143	30	119	388
УИК №1810	1484	1300	0	852	39	409	39	852	19	872	100	78	75	22	2	0	0	0	57	163	46	164	442
УИК №1811	1738	1500	0	1078	15	407	15	1078	3	1090	50	50	65	0	0	0	0	0	87	175	59	211	558
УИК №181	2083	1600	0	1267	50	283	50	1264	35	1279	40	38	42	2	0	0	0	0	47	274	77	372	509
УИК №1812	2665	2300	0	1830	36	434	36	1830	25	1841	65	65	84	0	3	0	0	0	97	264	75	257	1148
УИК №1813	2283	2000	0	1616	96	288	96	1616	0	1712	60	60	9	0	5	0	0	0	138	312	63	32	1167
УИК №1814	2243	1800	0	1264	39	497	39	1264	35	1268	55	49	40	6	3	0	0	0	92	239	80	252	605
УИК №1815	2413	2000	0	1362	37	601	37	1360	23	1374	60	58	73	2	3	0	0	0	99	303	67	259	646
УИК №1816	2174	1800	0	1215	15	570	15	1206	31	1190	65	47	80	18	2	0	0	0	88	226	69	211	596
УИК №1817	2698	2300	0	1489	23	788	23	1478	30	1471	65	58	95	7	7	0	0	0	116	299	81	244	731
УИК №1818	2455	2000	0	1399	43	558	43	1392	33	1402	55	49	42	6	0	0	0	0	88	286	76	227	725
УИК №1819	2272	2000	0	1285	71	644	71	1285	35	1321	70	69	30	1	9	0	0	0	73	258	61	114	815
УИК №1820	2023	1800	0	1232	22	546	22	1225	29	1218	50	50	49	0	5	0	0	0	55	238	62	223	640
УИК №1821	2024	1700	0	1271	65	364	65	1271	22	1314	80	71	19	9	10	0	0	0	69	239	54	192	760
УИК №1822	2600	2200	0	1553	30	617	30	1553	17	1566	55	55	43	0	0	0	0	0	105	247	80	277	857
УИК №182	2296	1700	0	1260	53	387	53	1257	19	1291	45	40	41	5	0	0	0	0	60	285	75	440	431
УИК №1823	2511	2200	0	1533	52	615	52	1533	35	1550	65	55	29	10	2	0	0	0	113	402	53	211	771
УИК №1824	1801	1500	0	1037	31	432	31	1037	22	1046	50	43	58	7	5	0	0	0	71	216	55	214	490
УИК №18	2485	2000	0	1419	57	524	57	1414	33	1438	50	41	54	9	0	0	0	0	60	298	90	420	570
УИК №1825	2238	2000	0	1230	40	730	40	1230	30	1240	85	74	13	11	1	0	0	0	92	262	68	243	575
УИК №1826	1568	1400	0	1119	72	209	72	1115	0	1187	60	60	10	0	4	0	0	0	76	250	15	92	754
УИК №1827	2030	1700	0	1145	28	527	28	1142	16	1154	55	50	81	5	1	0	0	0	64	251	51	227	561
УИК №1828	2018	1800	0	1069	53	678	53	1066	16	1103	55	38	39	17	8	0	0	0	79	238	61	235	490
УИК №1829	1104	1000	0	666	13	321	13	665	22	656	35	27	47	8	2	0	0	0	37	109	38	186	286
УИК №1830	2130	1900	0	1069	61	770	61	1064	22	1103	65	47	56	18	3	0	0	0	71	228	53	162	589
УИК №1831	2219	2200	0	1251	47	902	47	1251	24	1274	70	64	32	6	3	0	0	0	80	240	52	254	648
УИК №1832	2040	1900	0	1039	39	822	39	1036	21	1054	65	43	45	22	3	0	0	0	74	186	55	221	518
УИК №183	2386	1700	0	1354	56	290	56	1348	27	1377	40	39	42	1	2	0	0	0	58	306	80	441	492
УИК №1833	1502	1400	0	725	26	649	26	722	27	721	40	24	47	16	5	0	0	0	34	147	35	154	351
УИК №1834	1950	1900	0	1149	20	731	20	1148	17	1151	70	48	41	22	10	0	0	0	80	245	49	215	562
УИК №1835	2421	2400	0	1310	43	1047	43	1310	21	1332	70	66	41	4	10	0	0	0	62	257	89	320	604
УИК №1836	2376	2400	0	1365	63	972	63	1360	29	1394	80	80	31	0	8	0	0	0	67	314	87	247	679
УИК №1837	2181	2100	0	1155	46	899	46	1155	18	1183	65	46	70	19	7	0	0	0	77	219	85	212	590
УИК №1838	356	500	0	228	4	268	4	228	2	230	10	7	36	3	1	0	0	0	14	40	12	33	131
УИК №1839	2389	2300	0	1287	49	964	49	1285	24	1310	65	41	57	24	8	0	0	0	93	205	57	129	826
УИК №1840	2879	2700	0	1682	32	986	32	1682	42	1672	80	57	103	23	11	0	0	0	83	357	95	350	787
УИК №1841	1460	1400	0	778	41	581	41	778	17	802	60	32	29	28	4	0	0	0	51	173	49	172	357
УИК №1842	2724	2900	0	1574	27	1299	27	1574	32	1569	70	62	65	8	4	0	0	0	78	287	78	417	709
УИК №184	2396	1700	0	1216	48	436	48	1210	32	1226	45	45	32	0	1	0	0	0	50	211	69	350	546
УИК №1843	2319	2300	0	1312	29	959	29	1311	29	1311	70	60	38	10	7	0	0	0	92	261	77	296	585
УИК №1844	2661	2600	0	1464	43	1093	43	1464	39	1468	65	60	37	5	11	0	0	0	110	290	67	292	709
УИК №1845	1939	1900	0	1120	41	739	41	1120	26	1135	80	56	42	24	8	0	0	0	59	247	57	285	487
УИК №1846	2503	2400	0	1425	52	923	52	1424	19	1457	70	40	33	30	5	0	0	0	86	313	81	348	629
УИК №1847	2287	2200	0	1279	22	899	22	1279	23	1278	70	50	36	20	7	0	0	0	66	235	76	389	512
УИК №1848	2782	2700	0	1497	50	1153	50	1491	28	1513	73	54	46	19	3	0	0	0	117	274	81	348	693
УИК №1849	2599	2600	0	1384	54	1162	54	1384	26	1412	70	42	37	28	5	0	0	0	90	282	67	266	707
УИК №1850	2173	2100	0	1299	24	777	24	1297	33	1288	65	53	64	12	4	0	0	0	67	237	57	371	556
УИК №1851	2559	2460	0	1470	46	944	46	1462	29	1479	80	73	36	7	1	0	0	0	91	288	66	294	740
УИК №185	1917	1400	0	1045	52	303	52	1045	20	1077	35	35	28	0	0	0	0	0	51	197	51	337	441
УИК №1852	2488	2400	0	1369	51	980	51	1369	43	1377	80	63	22	17	10	0	0	0	91	247	89	298	652
УИК №1853	2740	2650	0	1548	53	1049	53	1548	30	1571	80	76	22	4	3	0	0	0	102	339	83	336	711
УИК №1854	2913	2780	0	1589	42	1149	41	1582	27	1596	80	71	59	9	5	0	0	0	112	338	79	290	777
УИК №1855	2683	2600	0	1285	73	1242	73	1278	34	1317	90	61	12	29	10	0	0	0	93	281	53	225	665
УИК №1856	2693	2500	0	1590	33	877	33	1590	32	1591	50	44	79	6	4	0	0	0	99	366	108	349	669
УИК №1857	2793	2640	0	1548	37	1055	37	1548	33	1552	60	54	50	6	3	0	0	0	90	305	85	391	681
УИК №1858	2668	2550	0	1452	29	1069	29	1450	36	1443	80	65	35	15	5	0	0	0	117	294	91	266	675
УИК №1859	2971	2800	0	1674	59	1067	59	1672	26	1705	90	77	87	13	10	0	0	0	134	375	76	237	883
УИК №1860	2701	2600	0	1517	46	1037	46	1514	41	1519	80	66	34	14	5	0	0	0	116	264	80	330	729
УИК №1861	2815	2700	0	1498	66	1140	66	1498	41	1523	80	68	30	12	12	0	0	4	98	299	63	249	814
УИК №186	2007	1450	0	1097	23	330	23	1097	27	1093	35	35	45	0	0	0	0	0	63	196	56	336	442
УИК №1862	2288	2200	0	1278	24	898	24	1277	28	1273	90	67	61	23	4	0	0	0	74	266	73	259	601
УИК №1863	2741	2660	0	1469	29	1162	29	1469	24	1474	110	84	4	26	4	0	0	0	109	270	76	278	741
УИК №1864	2224	2100	0	1169	34	897	34	1135	24	1145	50	41	41	9	5	0	0	0	98	246	53	166	582
УИК №1865	2280	2150	0	1274	37	839	37	1270	31	1276	60	47	45	13	3	0	0	0	86	277	94	225	594
УИК №1866	2333	2200	0	1206	63	931	63	1204	22	1245	50	48	65	2	2	0	0	0	89	266	60	218	612
УИК №1867	2027	1930	0	1180	52	698	52	1179	20	1211	50	39	34	11	6	0	0	0	63	219	54	203	672
УИК №1868	2330	2250	0	1301	58	891	57	1296	26	1327	60	56	21	4	4	0	0	0	96	264	67	218	682
УИК №1869	2485	2300	0	1339	49	912	49	1337	30	1356	50	42	32	8	6	0	0	0	85	315	72	188	696
УИК №1870	2273	2200	0	1285	49	866	49	1283	20	1312	80	64	62	16	3	0	0	0	82	254	62	274	640
УИК №1871	2616	2540	0	1478	54	1008	54	1478	29	1503	80	75	35	5	1	0	0	0	105	315	82	304	697
УИК №1872	2231	2120	0	1249	37	834	37	1245	21	1261	50	38	22	12	6	0	0	0	73	252	66	274	596
УИК №187	2412	1750	0	1386	30	334	30	1377	34	1373	45	39	51	6	1	0	0	0	63	274	71	436	529
УИК №1873	2387	2260	0	1304	41	915	41	1304	26	1319	50	44	37	6	4	0	0	0	79	266	77	263	634
УИК №1874	2183	2100	0	1202	32	866	32	1197	13	1216	60	49	34	11	2	0	0	0	103	208	74	225	606
УИК №1875	2177	2000	0	1168	37	795	37	1152	20	1169	80	60	82	20	2	0	0	0	83	235	54	227	570
УИК №1876	2863	2730	0	1626	31	1073	31	1626	35	1622	100	75	64	25	4	0	0	0	121	336	84	335	746
УИК №1877	2549	2450	0	1391	61	998	61	1391	27	1425	70	54	45	16	7	0	0	0	86	288	66	262	723
УИК №1878	2454	2300	0	1431	52	817	52	1427	43	1436	70	58	89	12	2	0	0	0	69	312	75	292	688
УИК №1879	2176	2130	0	1185	37	908	37	1185	32	1190	70	70	17	0	5	0	0	0	89	229	60	216	596
УИК №1880	2454	2400	0	1390	39	971	39	1388	28	1399	100	90	31	10	2	0	0	0	107	286	76	271	659
УИК №1881	206	210	0	206	0	4	0	206	5	201	10	0	6	10	0	0	0	0	4	17	2	4	174
УИК №188	2210	1650	0	1200	76	374	76	1200	30	1246	50	50	22	0	1	0	0	0	69	260	81	338	498
УИК №1882	2666	2300	0	1479	29	792	29	1469	25	1473	70	70	48	0	12	0	0	0	93	288	73	299	720
УИК №1883	2614	2300	0	1387	72	841	72	1315	42	1345	50	50	43	0	9	0	0	0	110	188	72	275	700
УИК №1884	2557	2200	0	1384	49	767	49	1384	37	1396	57	57	46	0	17	0	0	0	57	108	46	306	879
УИК №1885	2682	2300	0	1574	61	665	61	1556	28	1589	80	73	59	7	19	0	0	0	126	337	85	268	773
УИК №1886	2363	2100	0	1271	78	751	78	1271	19	1330	45	45	25	0	8	0	0	0	86	233	82	212	717
УИК №1887	2374	2000	0	1375	22	603	22	1375	26	1371	45	44	85	1	10	0	0	0	104	269	94	241	663
УИК №1888	1634	1400	0	893	42	465	42	892	18	916	40	36	25	4	1	0	0	0	58	165	58	164	471
УИК №1889	2030	1800	0	1110	67	623	67	1109	21	1155	52	48	24	4	9	0	0	0	75	236	51	175	618
УИК №1890	2269	2000	0	1215	41	744	41	1212	16	1237	45	42	37	3	15	0	0	0	91	244	56	188	658
УИК №1891	2471	2200	0	1265	39	896	39	1265	31	1273	70	67	37	3	20	0	0	0	105	246	75	239	608
УИК №1892	2533	2200	0	1529	61	610	61	1523	35	1549	58	58	60	0	20	0	0	0	111	332	74	264	768
УИК №189	2662	1750	0	1342	45	363	45	1341	25	1361	90	80	56	10	3	0	0	0	67	346	71	349	528
УИК №1893	2417	2100	0	1563	104	433	104	1563	47	1620	50	50	47	0	6	0	0	0	103	165	79	167	1106
УИК №1894	2335	2000	0	1418	77	505	77	1418	23	1472	60	58	33	2	12	0	0	0	35	229	20	205	983
УИК №1895	2505	2500	0	1460	39	1001	38	1456	35	1459	70	64	80	6	7	0	0	0	91	296	69	302	701
УИК №1896	2581	2200	0	1444	43	713	43	1441	28	1456	70	64	37	6	14	0	0	0	93	277	87	279	720
УИК №1897	2148	1800	0	1216	69	515	69	1216	33	1252	50	42	43	8	3	0	0	0	58	203	61	198	732
УИК №1898	2363	2000	0	1331	61	608	61	1331	41	1351	61	58	57	3	2	0	0	0	73	304	70	171	733
УИК №1899	2086	1800	0	1225	65	510	65	1225	33	1257	90	57	36	33	9	0	0	0	64	267	65	223	638
УИК №1900	2284	1900	0	1186	19	695	19	1181	22	1178	50	50	64	0	20	0	0	0	115	209	57	190	607
УИК №1901	2095	1800	0	1099	44	657	44	1099	18	1125	40	39	25	1	11	0	0	0	84	235	74	183	549
УИК №190	1843	1350	0	1011	42	297	42	1007	22	1027	30	30	58	0	0	0	0	0	72	207	57	259	432
УИК №1902	2893	2500	0	1527	46	927	46	1526	24	1548	70	70	37	0	11	0	0	0	109	305	89	291	754
УИК №1903	2451	2100	0	1304	32	764	32	1304	25	1311	70	70	43	0	12	0	0	0	67	180	61	140	863
УИК №1904	2728	2400	0	1484	65	851	65	1430	26	1469	60	50	55	10	18	0	0	0	74	279	67	219	830
УИК №1905	2620	2300	0	1412	78	810	78	1402	28	1452	80	72	25	8	8	0	0	0	111	257	86	254	744
УИК №1906	2632	2300	0	1304	31	965	31	1304	21	1314	60	59	57	1	14	0	0	0	98	233	37	144	802
УИК №1907	2794	2400	0	1513	31	856	31	1498	32	1497	60	57	38	3	15	0	0	0	96	254	95	248	804
УИК №1908	2696	2300	0	1322	64	914	64	1321	15	1370	90	83	50	7	20	0	0	0	119	230	66	213	742
УИК №1909	2670	2300	0	1438	49	813	49	1437	26	1460	80	77	23	3	12	0	0	0	102	287	63	250	758
УИК №1910	2638	2300	0	1432	40	828	40	1431	29	1442	60	52	49	8	13	0	0	0	109	271	60	238	764
УИК №191	1155	900	0	717	27	156	27	716	26	717	50	32	124	18	0	0	0	0	43	180	32	186	276
УИК №1911	2206	1900	0	1068	5	827	5	1067	31	1041	50	50	33	0	10	0	0	0	118	185	52	153	533
УИК №1912	2810	2500	0	1336	9	1155	9	1334	23	1320	65	60	44	5	6	0	0	0	128	229	61	170	732
УИК №1913	2532	2200	0	1397	52	751	52	1395	34	1413	90	90	30	0	9	0	0	0	81	287	91	220	734
УИК №1914	2656	2400	0	1508	85	807	85	1423	32	1476	95	95	22	0	9	0	0	0	86	273	65	211	841
УИК №1915	2666	2300	0	1463	34	803	34	1463	18	1479	70	70	33	0	17	0	0	0	123	271	84	208	793
УИК №1916	2397	2100	0	1287	44	769	44	1243	25	1262	60	45	26	15	7	0	0	0	77	256	26	42	861
УИК №1917	2675	2300	0	1493	27	780	27	1488	41	1474	65	64	31	1	10	0	0	0	110	294	81	238	751
УИК №1918	2505	2270	0	1267	84	919	84	1262	15	1331	60	53	50	7	5	0	0	0	76	265	59	322	609
УИК №1919	2447	2250	0	1286	34	930	34	1282	28	1288	70	61	27	9	4	0	0	0	85	270	70	247	616
УИК №1920	2480	2250	0	1444	71	735	71	1434	19	1486	70	60	47	10	3	0	0	0	72	327	77	309	701
УИК №1921	2816	2540	0	1598	44	898	44	1594	28	1610	80	65	58	15	1	0	0	0	134	315	88	289	784
УИК №192	1470	1100	0	809	27	264	27	809	21	815	50	24	144	26	0	0	0	0	27	129	41	281	337
УИК №1922	2699	2370	0	1430	54	886	54	1376	30	1400	60	54	109	6	7	0	0	0	93	279	91	255	682
УИК №1923	1754	1570	0	972	30	568	30	970	10	990	50	42	59	8	6	0	0	0	80	193	36	176	505
УИК №1924	1831	1670	0	995	30	645	30	994	16	1008	65	65	49	0	7	0	0	0	76	187	58	182	505
УИК №1925	2009	1850	0	1090	31	729	31	1086	22	1095	90	90	36	0	0	0	0	0	110	204	67	180	534
УИК №19	2582	2000	0	1453	52	495	52	1404	30	1426	50	41	142	9	2	0	0	0	83	227	81	406	629
УИК №1926	2147	1900	0	1050	48	802	48	1049	23	1074	65	57	49	8	4	0	0	0	82	208	57	168	559
УИК №1927	2018	1850	0	1033	47	770	47	1030	18	1059	65	57	39	8	6	0	0	0	81	207	56	203	512
УИК №1928	2561	2250	0	1288	34	928	34	1284	33	1285	80	62	57	18	3	0	0	0	88	251	82	214	650
УИК №1929	2894	2550	0	1526	44	980	44	1522	33	1533	90	68	100	22	4	0	0	0	127	310	65	241	790
УИК №1930	2626	2400	0	1381	56	963	56	1325	30	1351	100	87	51	13	12	0	0	0	89	266	59	301	636
УИК №1931	2755	2500	0	1456	46	998	46	1450	55	1441	60	51	22	9	6	0	0	0	98	309	88	308	638
УИК №1932	2617	2350	0	1329	48	973	48	1325	25	1348	67	56	41	11	9	0	0	0	113	237	68	250	680
УИК №193	2353	1900	0	1402	47	451	47	1400	26	1421	60	51	175	9	2	0	0	0	71	290	70	416	574
УИК №1933	2541	2200	0	1184	50	966	50	1182	26	1206	50	49	31	1	10	0	0	0	85	249	54	215	603
УИК №1934	1695	1400	0	1047	24	329	24	1047	21	1050	50	36	63	14	4	0	0	0	69	224	47	203	507
УИК №1935	1963	1700	0	1074	52	574	52	1069	22	1099	50	30	69	20	3	0	0	0	92	199	52	190	566
УИК №1936	1834	1600	0	1014	33	553	33	1014	17	1030	50	47	40	3	1	0	0	0	67	198	49	189	527
УИК №1937	1838	1650	0	997	33	620	33	997	35	995	50	36	35	14	3	0	0	0	59	211	50	205	470
УИК №1938	1693	1500	0	909	40	551	40	909	22	927	50	28	20	22	4	0	0	0	85	171	48	148	475
УИК №1939	2050	1800	0	1093	42	665	42	1085	20	1107	50	39	56	11	4	0	0	0	59	234	54	217	543
УИК №1940	2090	1800	0	1127	29	644	29	1122	12	1139	65	54	55	11	7	0	0	0	95	184	55	199	606
УИК №1941	2388	2100	0	1248	61	791	61	1248	25	1284	65	56	53	9	7	0	0	0	103	213	50	196	722
УИК №194	2221	2000	0	1192	52	756	52	1188	30	1210	75	64	56	11	2	0	0	0	51	291	56	331	481
УИК №1942	2439	2200	0	1268	39	893	39	1268	38	1269	70	59	39	11	15	0	0	0	93	252	54	165	705
УИК №1943	2464	2200	0	1338	54	808	54	1337	24	1367	85	72	49	13	11	0	0	0	95	255	71	225	721
УИК №1944	2415	2200	0	1309	69	822	69	1307	31	1345	70	51	42	19	7	0	0	0	88	240	77	247	693
УИК №1945	1764	1600	0	974	25	601	25	973	21	977	50	47	54	3	9	0	0	0	67	193	56	138	523
УИК №1946	1750	1450	0	864	36	550	36	864	28	872	50	47	38	3	11	0	0	0	52	137	35	130	518
УИК №1947	2694	2400	0	1241	84	1075	84	1241	27	1298	70	54	42	16	13	0	0	0	98	260	67	206	667
УИК №1948	1992	1700	0	1082	30	588	30	1053	28	1055	70	64	66	6	1	0	0	0	96	184	76	185	514
УИК №1949	2527	2300	0	1219	81	1000	81	1218	33	1266	80	77	32	3	6	0	0	0	92	273	72	232	597
УИК №1950	2238	2000	0	1041	47	912	47	1041	21	1067	85	70	14	15	3	0	0	0	109	198	59	153	548
УИК №195	1203	1000	0	714	27	259	27	711	17	721	50	37	90	13	0	0	0	0	30	132	34	236	289
УИК №1951	275	300	0	184	1	115	1	184	5	180	10	2	64	8	0	0	0	0	15	38	14	33	80
УИК №1952	2801	2500	0	1636	33	831	33	1625	38	1620	70	56	41	14	11	0	0	0	69	326	96	502	627
УИК №1953	2655	2400	0	1513	49	838	49	1513	28	1534	60	54	13	6	12	0	0	0	81	331	86	372	664
УИК №1954	2341	2100	0	1307	49	744	49	1303	29	1323	50	49	34	1	30	0	0	0	75	276	78	301	593
УИК №1955	2614	2400	0	1498	54	848	54	1497	63	1488	70	63	24	7	5	0	0	0	82	326	68	345	667
УИК №1956	2379	2100	0	1348	77	675	77	1328	32	1373	60	49	41	11	4	0	0	0	93	275	66	284	655
УИК №1957	2154	2000	0	1230	33	737	33	1230	28	1235	54	50	41	4	4	0	0	0	70	238	88	299	540
УИК №1958	1195	1800	0	1166	29	605	29	1161	28	1162	60	44	18	16	5	0	0	0	75	247	75	287	478
УИК №1959	2712	2500	0	1585	36	879	36	1583	24	1595	80	68	50	12	12	0	0	0	108	396	70	265	756
УИК №1960	2265	2100	0	1367	35	698	35	1360	29	1366	60	50	56	10	8	0	0	0	65	302	72	350	577
УИК №1961	1744	1600	0	957	82	561	82	956	21	1017	50	37	29	13	8	0	0	0	52	189	49	214	513
УИК №196	1957	1600	0	1218	30	352	30	1213	28	1215	60	43	135	17	0	0	0	0	58	242	68	315	532
УИК №1962	1865	1700	0	919	20	761	20	915	18	917	40	29	21	11	3	0	0	0	59	169	55	214	420
УИК №1963	2497	2300	0	1402	23	875	23	1395	27	1391	70	70	22	0	8	0	0	0	86	270	55	324	656
УИК №1964	2202	2000	0	1192	34	774	34	1188	32	1190	50	43	22	7	4	0	0	0	64	240	59	247	580
УИК №1965	2470	2300	0	1302	32	966	32	1298	18	1312	60	54	24	6	7	0	0	0	82	292	80	300	558
УИК №1966	2521	2300	0	1347	85	868	85	1347	26	1406	70	61	56	9	4	0	0	0	81	205	74	256	790
УИК №1967	2152	2000	0	1281	120	599	113	1169	29	1253	50	48	17	2	6	0	0	0	45	208	56	302	642
УИК №1968	2271	2000	0	1269	25	706	25	1264	27	1262	50	42	51	8	5	0	0	0	94	252	60	269	587
УИК №1969	2267	2100	0	1215	108	777	108	1209	24	1293	60	47	33	13	11	0	0	0	105	240	70	226	652
УИК №1970	1274	1200	0	647	30	523	30	646	6	670	50	21	7	29	3	0	0	0	33	126	35	120	356
УИК №1971	2805	2500	0	1417	50	1033	50	1416	25	1441	80	74	36	6	4	0	0	0	101	245	81	242	772
УИК №1972	1951	1800	0	1125	51	624	51	1123	29	1145	50	40	31	10	3	0	0	0	76	204	73	202	590
УИК №197	2587	2000	0	1506	51	443	51	1506	36	1521	75	59	122	16	2	0	0	0	80	265	71	470	635
УИК №1973	1931	1800	0	1075	99	626	99	1075	40	1134	50	45	27	5	3	0	0	0	74	218	60	217	565
УИК №1974	1678	1500	0	967	86	447	86	965	27	1024	50	38	42	12	3	0	0	0	67	206	55	231	465
УИК №1975	2586	2400	0	1467	67	866	67	1467	31	1503	70	69	30	1	3	0	0	0	66	346	73	374	644
УИК №1976	2719	2500	0	1613	62	825	62	1613	26	1649	70	56	25	14	1	0	0	0	69	433	89	407	651
УИК №1977	2537	2300	0	1517	115	668	115	1517	21	1611	60	45	65	15	0	0	0	0	89	326	73	283	840
УИК №1978	2223	2000	0	1449	149	402	149	1449	46	1552	60	41	22	19	0	0	0	0	23	545	35	48	901
УИК №1979	2533	2300	0	1527	78	695	78	1519	46	1551	70	60	46	10	4	0	0	0	76	333	79	279	784
УИК №1980	348	373	0	322	26	25	26	322	16	332	30	25	0	5	0	0	0	0	22	11	5	9	285
УИК №1981	2276	2000	0	1170	43	787	43	1167	20	1190	50	47	28	3	5	0	0	0	72	219	59	195	645
УИК №198	1911	1600	0	1098	38	464	38	1093	27	1104	60	38	61	22	0	0	0	0	46	203	63	361	431
УИК №1982	2364	2000	0	1348	19	633	19	1334	23	1330	50	50	74	0	3	0	0	0	96	276	86	235	637
УИК №1983	2166	2000	0	1113	20	867	20	1109	22	1107	65	63	15	2	4	0	0	0	82	261	52	189	523
УИК №1984	1946	1700	0	1052	22	626	22	1052	29	1045	40	37	23	3	4	0	0	0	72	242	56	167	508
УИК №1985	2377	2000	0	1521	28	451	28	1515	23	1520	50	47	34	3	7	0	0	0	90	329	74	274	753
УИК №1986	2277	2000	0	1286	24	690	24	1282	30	1276	60	43	76	17	1	0	0	0	71	264	91	250	600
УИК №1987	2339	2000	0	1471	28	501	28	1471	27	1472	50	47	24	3	7	0	0	0	81	294	68	226	803
УИК №1988	2246	2000	0	1189	34	777	34	1188	20	1202	65	50	29	15	4	0	0	0	79	243	49	232	599
УИК №1989	2440	2200	0	1308	38	854	38	1308	20	1326	65	54	25	11	7	0	0	0	86	327	83	207	623
УИК №1990	2435	2200	0	1336	38	826	38	1333	21	1350	68	67	44	1	8	0	0	0	76	261	66	208	739
УИК №1991	2467	2200	0	1354	45	801	45	1353	21	1377	55	49	27	6	3	0	0	0	80	282	86	248	681
УИК №1992	2787	2300	0	1208	6	1086	6	1205	20	1191	65	64	66	1	11	0	0	0	105	207	68	212	599
УИК №199	2566	2200	0	1460	72	668	72	1451	23	1500	100	79	47	21	0	0	0	0	60	307	107	426	600
УИК №1993	2729	2400	0	1456	100	844	100	1452	121	1431	65	55	47	10	4	0	0	0	126	242	64	251	748
УИК №1994	2526	2200	0	1318	44	838	44	1274	24	1294	65	57	21	8	7	0	0	0	105	268	95	220	606
УИК №1995	2321	2000	0	1191	50	759	50	1191	25	1216	50	50	66	0	2	0	0	0	101	268	66	195	586
УИК №1996	2580	2300	0	1404	56	840	56	1403	33	1426	65	58	30	7	5	0	0	0	102	265	97	275	687
УИК №1997	2316	2000	0	1308	45	647	45	1305	35	1315	55	55	52	0	7	0	0	0	82	297	66	317	553
УИК №1998	2493	2200	0	1624	57	519	57	1624	20	1661	50	50	58	0	3	0	0	0	66	324	91	358	822
УИК №1999	2223	1900	0	1254	91	555	91	1252	30	1313	50	42	70	8	3	0	0	0	61	276	69	267	640
УИК №2000	2278	2000	0	1273	56	671	56	1269	26	1299	50	31	30	19	0	0	0	0	93	221	72	304	609
УИК №2001	2441	2200	0	1266	39	895	39	1265	26	1278	50	49	42	1	4	0	0	0	74	251	65	253	635
УИК №200	1923	1600	0	1114	17	468	17	1114	16	1115	80	73	78	7	2	0	1	0	64	274	64	284	429
УИК №2002	2156	2000	0	1358	72	570	72	1358	26	1404	50	31	16	19	4	0	0	0	81	234	64	257	768
