	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число полученных открепительных  удостоверений	Число открепительных удостоверений, выданных избирателям на избирательном участке	Число избирателей, проголосовавших по открепительным удостоверениям	Число неиспользованных открепительных удостоверений	Число открепительных удостоверений, выданных избирателям ТИК	Число утраченных открепительных удостоверений	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Жириновский Владимир Вольфович	Зюганов Геннадий Андреевич	Миронов Сергей Михайлович	Прохоров Михаил Дмитриевич	Путин Владимир Владимирович
УИК №1058	2025	1800	0	1081	45	674	45	1078	20	1103	80	53	50	27	0	0	0	0	94	176	61	181	591
УИК №1059	2464	2000	0	1261	59	676	59	1261	21	1299	60	53	51	7	3	0	4	0	82	253	60	245	659
УИК №1060	2304	2000	0	1230	61	709	61	1228	23	1266	60	57	42	3	3	0	0	0	95	216	67	232	656
УИК №1061	354	350	0	201	0	149	0	199	7	192	20	8	22	12	1	0	0	0	18	30	12	44	88
УИК №1062	3117	2500	0	1730	63	707	63	1728	42	1749	50	48	88	2	1	0	0	0	121	332	86	322	888
УИК №106	2441	2300	0	1296	44	960	44	1296	33	1307	50	49	39	1	0	0	0	0	88	242	62	315	600
УИК №1063	2819	2300	0	1540	39	721	39	1535	40	1534	50	50	59	0	4	0	0	0	101	317	87	275	754
УИК №1064	2972	2300	0	1591	44	665	44	1574	32	1586	80	78	57	2	5	0	0	0	102	326	79	362	717
УИК №1065	3034	2400	0	1754	49	597	49	1749	18	1780	51	51	30	0	6	0	0	0	109	399	109	323	840
УИК №1066	2725	2200	0	1533	40	627	40	1511	45	1506	50	48	85	2	1	0	0	0	101	278	99	312	716
УИК №1067	3039	2400	0	1643	62	695	62	1639	30	1671	50	44	78	6	4	0	0	0	104	374	89	390	714
УИК №1068	2872	2300	0	1697	38	565	38	1692	29	1701	80	79	86	1	5	0	0	0	78	406	98	317	802
УИК №1069	3008	2400	0	1663	42	695	42	1659	26	1675	50	50	48	0	6	0	0	0	131	331	118	310	785
УИК №1070	2830	2200	0	1609	52	539	52	1595	38	1609	50	48	71	2	2	0	0	0	118	319	81	339	752
УИК №1071	2241	1800	0	1252	44	504	44	1250	27	1267	50	47	14	3	2	0	0	0	83	260	64	238	622
УИК №1072	3012	2400	0	1701	40	659	40	1694	52	1682	50	50	36	0	6	0	0	0	112	325	97	360	788
УИК №107	2345	2200	0	1086	34	1080	34	1086	25	1095	50	36	44	14	0	0	0	0	79	204	57	260	495
УИК №1073	2532	2100	0	1394	48	658	48	1389	29	1408	50	50	36	0	6	0	0	0	82	299	77	271	679
УИК №1074	3031	2400	0	1804	49	547	49	1804	30	1823	70	65	78	5	5	0	0	0	128	361	100	309	925
УИК №1075	2807	2300	0	1569	76	655	76	1569	32	1613	70	59	44	11	4	0	0	0	79	343	85	366	740
УИК №1076	2989	2400	0	1813	36	551	36	1803	47	1792	100	91	80	9	3	0	0	0	98	372	104	405	813
УИК №1077	3018	2200	0	1698	40	462	40	1698	29	1709	180	174	102	6	2	0	0	0	102	344	110	364	789
УИК №1078	2234	1800	0	1188	46	566	46	1182	21	1207	50	50	33	0	2	0	6	6	90	221	64	211	621
УИК №1079	2716	2100	0	1596	65	439	65	1591	32	1624	80	67	100	13	1	0	0	0	88	346	100	287	803
УИК №1080	2837	2300	0	1547	101	652	101	1544	33	1612	70	70	44	0	2	0	0	0	84	371	83	328	746
УИК №1081	3038	2400	0	1766	54	580	54	1765	46	1773	71	71	86	0	1	0	0	0	118	415	109	284	847
УИК №1082	2828	2500	0	1627	61	812	61	1620	28	1653	94	92	101	2	4	0	0	0	123	288	82	398	762
УИК №108	2517	2500	0	1182	31	1287	31	1171	32	1170	50	50	34	0	1	0	0	0	70	243	48	258	551
УИК №1083	2746	2500	0	1657	44	799	44	1651	50	1645	82	81	46	1	4	0	0	0	106	305	81	362	791
УИК №1084	2740	2500	0	1554	49	897	49	1553	33	1569	73	73	53	0	3	0	0	0	99	313	83	303	771
УИК №1086	2415	2200	0	1365	29	806	29	1365	24	1370	84	80	44	4	4	0	0	0	101	274	65	288	642
